Pos,No,Driver,Car,Time,Laps
1,5,Michael SchumacherMSC,Benetton Ford,1:26.178,22
2,27,Jean AlesiALE,Ferrari,1:26.277,24
3,28,Gerhard BergerBER,Ferrari,1:27.059,24
4,0,Damon HillHIL,Williams Renault,1:27.094,24
5,2,David CoulthardCOU,Williams Renault,1:27.211,20
6,14,Rubens BarrichelloBAR,Jordan Hart,1:27.554,21
7,7,Mika HakkinenHAK,McLaren Peugeot,1:27.616,24
8,15,Eddie IrvineIRV,Jordan Hart,1:27.780,24
9,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:27.827,20
10,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:27.977,21
11,10,Gianni MorbidelliMOR,Footwork Ford,1:27.989,24
12,8,Martin BrundleBRU,McLaren Peugeot,1:28.197,24
13,4,Mark BlundellBLU,Tyrrell Yamaha,1:28.579,23
14,29,Andrea de CesarisDEC,Sauber Mercedes,1:28.694,24
15,23,Pierluigi MartiniMAR,Minardi Ford,1:28.847,23
16,9,Christian FittipaldiFIT,Footwork Ford,1:28.882,24
17,12,Johnny HerbertHER,Lotus Mugen Honda,1:28.889,22
18,24,Michele AlboretoALB,Minardi Ford,1:28.903,21
19,26,Olivier PanisPAN,Ligier Renault,1:28.950,24
20,6,Jyrki JarvilehtoJAR,Benetton Ford,1:28.993,21
21,20,Erik ComasCOM,Larrousse Ford,1:29.039,23
22,19,Olivier BerettaBER,Larrousse Ford,1:29.403,24
23,11,Alessandro ZanardiZAN,Lotus Mugen Honda,1:30.160,23
24,25,Eric BernardBER,Ligier Renault,1:30.493,22
25,31,David BrabhamBRA,Simtek Ford,1:31.632,20
26,34,Bertrand GachotGAC,Pacific Ilmor,1:32.838,22
27,33,Paul BelmondoBEL,Pacific Ilmor,1:33.006,22
