Pos,No,Driver,Car,Lap,Time
1,5,Damon HillHIL,Williams Renault,37,1:29.752
2,1,Michael SchumacherMSC,Benetton Renault,28,1:30.271
3,27,Jean AlesiALE,Ferrari,38,1:30.768
4,6,David CoulthardCOU,Williams Renault,42,1:30.812
5,14,Rubens BarrichelloBAR,Jordan Peugeot,38,1:30.841
6,2,Johnny HerbertHER,Benetton Renault,23,1:31.149
7,26,Olivier PanisPAN,Ligier Mugen Honda,37,1:31.393
8,28,Gerhard BergerBER,Ferrari,16,1:31.435
9,7,Mark BlundellBLU,McLaren Mercedes,54,1:31.694
10,25,Martin BrundleBRU,Ligier Mugen Honda,9,1:31.881
11,8,Mika HakkinenHAK,McLaren Mercedes,17,1:31.901
12,29,Jean-Christophe BoullionBOU,Sauber Ford,58,1:32.588
13,30,Heinz-Harald FrentzenFRE,Sauber Ford,27,1:33.012
14,4,Mika SaloSAL,Tyrrell Yamaha,41,1:33.081
15,3,Ukyo KatayamaKAT,Tyrrell Yamaha,20,1:33.242
16,24,Luca BadoerBAD,Minardi Ford,31,1:33.631
17,23,Pierluigi MartiniMAR,Minardi Ford,53,1:33.774
18,9,Massimiliano PapisPAP,Footwork Hart,21,1:34.633
19,10,Taki InoueINO,Footwork Hart,15,1:35.021
20,16,Bertrand GachotGAC,Pacific Ilmor,8,1:36.313
21,17,Andrea MonterminiMON,Pacific Ilmor,8,1:36.445
22,22,Roberto MorenoMOR,Forti Ford,4,1:37.734
23,21,Pedro DinizDIN,Forti Ford,4,1:37.859
24,15,Eddie IrvineIRV,Jordan Peugeot,2,1:43.961
