Pos,No,Driver,Car,Time,Gap,Laps
1,6,David CoulthardCOU,Williams Renault,1:15.730,,22
2,5,Damon HillHIL,Williams Renault,1:16.086,+0.356s,23
3,27,Jean AlesiALE,Ferrari,1:16.408,+0.678s,22
4,15,Eddie IrvineIRV,Jordan Peugeot,1:16.468,+0.738s,22
5,28,Gerhard BergerBER,Ferrari,1:16.488,+0.758s,19
6,1,Michael SchumacherMSC,Benetton Renault,1:16.681,+0.951s,23
7,2,Johnny HerbertHER,Benetton Renault,1:16.833,+1.103s,23
8,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:16.959,+1.229s,23
9,14,Rubens BarrichelloBAR,Jordan Peugeot,1:17.560,+1.830s,20
10,29,Jean-Christophe BoullionBOU,Sauber Ford,1:17.735,+2.005s,23
11,7,Mark BlundellBLU,McLaren Mercedes,1:17.744,+2.014s,9
12,8,Jan MagnussenMAG,McLaren Mercedes,1:17.872,+2.142s,23
13,26,Olivier PanisPAN,Ligier Mugen Honda,1:17.982,+2.252s,15
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:18.003,+2.273s,22
15,25,Aguri SuzukiSUZ,Ligier Mugen Honda,1:18.226,+2.496s,23
16,23,Pedro LamyLAM,Minardi Ford,1:18.556,+2.826s,23
17,4,Mika SaloSAL,Tyrrell Yamaha,1:18.933,+3.203s,21
18,9,Gianni MorbidelliMOR,Footwork Hart,1:19.025,+3.295s,17
19,24,Luca BadoerBAD,Minardi Ford,1:19.352,+3.622s,23
20,10,Taki InoueINO,Footwork Hart,1:20.218,+4.488s,21
21,17,Andrea MonterminiMON,Pacific Ilmor,1:21.281,+5.551s,4
22,21,Pedro DinizDIN,Forti Ford,1:21.304,+5.574s,23
23,22,Roberto MorenoMOR,Forti Ford,1:21.626,+5.896s,22
24,16,Bertrand GachotGAC,Pacific Ilmor,1:24.195,+8.465s,3
