Pos,No,Driver,Car,Time,Laps
1,5,Damon HillHIL,Williams Renault,1:16.982,21
2,6,David CoulthardCOU,Williams Renault,1:17.366,22
3,1,Michael SchumacherMSC,Benetton Renault,1:17.558,23
4,28,Gerhard BergerBER,Ferrari,1:18.059,17
5,8,Mika HakkinenHAK,McLaren Mercedes,1:18.363,19
6,27,Jean AlesiALE,Ferrari,1:18.968,9
7,25,Martin BrundleBRU,Ligier Mugen Honda,1:19.748,21
8,2,Johnny HerbertHER,Benetton Renault,1:20.072,24
9,26,Olivier PanisPAN,Ligier Mugen Honda,1:20.160,16
10,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:20.413,11
11,24,Luca BadoerBAD,Minardi Ford,1:20.543,24
12,7,Mark BlundellBLU,McLaren Mercedes,1:20.640,14
13,14,Rubens BarrichelloBAR,Jordan Peugeot,1:20.902,14
14,23,Pedro LamyLAM,Minardi Ford,1:21.156,24
15,15,Eddie IrvineIRV,Jordan Peugeot,1:21.246,9
16,4,Mika SaloSAL,Tyrrell Yamaha,1:21.624,14
17,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:21.702,21
18,10,Taki InoueINO,Footwork Hart,1:22.081,23
19,29,Jean-Christophe BoullionBOU,Sauber Ford,1:22.161,9
20,9,Massimiliano PapisPAP,Footwork Hart,1:23.275,10
21,22,Roberto MorenoMOR,Forti Ford,1:24.351,24
22,17,Andrea MonterminiMON,Pacific Ilmor,1:24.371,19
23,21,Pedro DinizDIN,Forti Ford,1:24.695,23
24,16,Giovanni LavaggiLAV,Pacific Ilmor,1:26.570,23
