Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Benetton Renault,1:21.452,19
2,27,Jean AlesiALE,Ferrari,1:22.052,18
3,28,Gerhard BergerBER,Ferrari,1:22.071,19
4,6,David CoulthardCOU,Williams Renault,1:22.332,21
5,5,Damon HillHIL,Williams Renault,1:22.349,21
6,15,Eddie IrvineIRV,Jordan Peugeot,1:23.352,23
7,2,Johnny HerbertHER,Benetton Renault,1:23.536,22
8,14,Rubens BarrichelloBAR,Jordan Peugeot,1:23.705,15
9,8,Mika HakkinenHAK,McLaren Mercedes,1:23.833,22
10,7,Nigel MansellMAN,McLaren Mercedes,1:23.927,23
11,25,Martin BrundleBRU,Ligier Mugen Honda,1:24.727,23
12,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:24.802,23
13,4,Mika SaloSAL,Tyrrell Yamaha,1:24.971,22
14,9,Gianni MorbidelliMOR,Footwork Hart,1:25.053,23
15,26,Olivier PanisPAN,Ligier Mugen Honda,1:25.204,23
16,12,Jos VerstappenVER,Simtek Ford,1:25.827,17
17,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:25.946,21
18,10,Taki InoueINO,Footwork Hart,1:26.059,24
19,23,Pierluigi MartiniMAR,Minardi Ford,1:26.619,21
20,29,Karl WendlingerWEN,Sauber Ford,1:27.007,24
21,24,Luca BadoerBAD,Minardi Ford,1:27.345,24
22,11,Domenico SchiattarellaSCH,Simtek Ford,1:27.575,23
23,17,Andrea MonterminiMON,Pacific Ilmor,1:28.094,22
24,16,Bertrand GachotGAC,Pacific Ilmor,1:28.598,24
25,22,Roberto MorenoMOR,Forti Ford,1:28.963,23
26,21,Pedro DinizDIN,Forti Ford,1:29.540,24
