Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,9,Olivier PanisPAN,Ligier Mugen Honda,4,14:07:29,28.270,28.270
1,7,Mika HakkinenHAK,McLaren Mercedes,13,14:23:42,35.920,35.920
1,20,Pedro LamyLAM,Minardi Ford,13,14:24:25,30.507,30.507
1,2,Eddie IrvineIRV,Ferrari,14,14:25:30,29.771,29.771
1,8,David CoulthardCOU,McLaren Mercedes,16,14:29:07,27.293,27.293
1,15,Heinz-Harald FrentzenFRE,Sauber Ford,16,14:29:30,27.419,27.419
1,14,Johnny HerbertHER,Sauber Ford,16,14:30:12,2:37.087,2:37.087
1,5,Damon HillHIL,Williams Renault,20,14:36:06,28.486,28.486
1,11,Rubens BarrichelloBAR,Jordan Peugeot,21,14:38:38,30.808,30.808
1,3,Jean AlesiALE,Benetton Renault,22,14:39:41,30.259,30.259
1,6,Jacques VilleneuveVIL,Williams Renault,22,14:40:02,32.123,32.123
1,1,Michael SchumacherMSC,Ferrari,22,14:40:02,32.523,32.523
1,16,Ricardo RossetROS,Footwork Hart,22,14:41:22,33.246,33.246
1,4,Gerhard BergerBER,Benetton Renault,23,14:41:28,31.283,31.283
1,12,Martin BrundleBRU,Jordan Peugeot,22,14:42:04,41.784,41.784
2,9,Olivier PanisPAN,Ligier Mugen Honda,23,14:42:35,31.626,59.896
1,19,Mika SaloSAL,Tyrrell Yamaha,23,14:42:49,29.304,29.304
2,20,Pedro LamyLAM,Minardi Ford,29,14:55:01,28.387,58.894
2,2,Eddie IrvineIRV,Ferrari,30,14:55:03,27.899,57.670
2,15,Heinz-Harald FrentzenFRE,Sauber Ford,31,14:57:28,27.163,54.582
2,8,David CoulthardCOU,McLaren Mercedes,32,14:58:27,26.737,54.030
2,5,Damon HillHIL,Williams Renault,34,15:01:26,27.192,55.678
