Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,23,Andrea MonterminiMON,Forti Ford,16,14:23:16,32.058,32.058
1,21,Giancarlo FisichellaFIS,Minardi Ford,20,14:28:43,30.436,30.436
1,11,Rubens BarrichelloBAR,Jordan Peugeot,21,14:29:35,29.327,29.327
2,11,Rubens BarrichelloBAR,Jordan Peugeot,22,14:31:27,51.131,1:20.458
1,22,Luca BadoerBAD,Forti Ford,22,14:31:52,39.213,39.213
1,9,Olivier PanisPAN,Ligier Mugen Honda,24,14:34:06,28.686,28.686
1,19,Mika SaloSAL,Tyrrell Yamaha,24,14:34:13,28.348,28.348
1,12,Martin BrundleBRU,Jordan Peugeot,25,14:35:07,27.996,27.996
1,5,Damon HillHIL,Williams Renault,28,14:38:49,27.294,27.294
1,10,Pedro DinizDIN,Ligier Mugen Honda,34,14:48:24,31.495,31.495
1,4,Gerhard BergerBER,Benetton Renault,35,14:48:59,31.355,31.355
1,6,Jacques VilleneuveVIL,Williams Renault,36,14:50:02,30.974,30.974
1,14,Johnny HerbertHER,Sauber Ford,36,14:51:05,30.425,30.425
1,3,Jean AlesiALE,Benetton Renault,37,14:51:43,31.307,31.307
1,20,Pedro LamyLAM,Minardi Ford,36,14:51:54,31.371,31.371
1,7,Mika HakkinenHAK,McLaren Mercedes,37,14:52:17,29.177,29.177
1,8,David CoulthardCOU,McLaren Mercedes,41,14:57:39,30.503,30.503
1,1,Michael SchumacherMSC,Ferrari,41,14:58:16,34.354,34.354
2,12,Martin BrundleBRU,Jordan Peugeot,45,15:03:24,29.777,57.773
2,22,Luca BadoerBAD,Forti Ford,44,15:04:25,39.281,1:18.494
2,21,Giancarlo FisichellaFIS,Minardi Ford,45,15:04:59,31.629,1:02.065
3,12,Martin BrundleBRU,Jordan Peugeot,46,15:05:14,40.593,1:38.366
2,5,Damon HillHIL,Williams Renault,50,15:09:23,27.521,54.815
