Pos,No,Driver,Car,Time,Gap,Laps
1,1,Michael SchumacherMSC,Ferrari,1:21.858,,19
2,5,Damon HillHIL,Williams Renault,1:21.867,+0.009s,20
3,6,Jacques VilleneuveVIL,Williams Renault,1:22.268,+0.410s,21
4,2,Eddie IrvineIRV,Ferrari,1:22.469,+0.611s,16
5,3,Jean AlesiALE,Benetton Renault,1:22.664,+0.806s,21
6,7,Mika HakkinenHAK,McLaren Mercedes,1:22.668,+0.810s,27
7,11,Rubens BarrichelloBAR,Jordan Peugeot,1:22.705,+0.847s,22
8,4,Gerhard BergerBER,Benetton Renault,1:22.796,+0.938s,25
9,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:23.249,+1.391s,21
10,9,Olivier PanisPAN,Ligier Mugen Honda,1:23.422,+1.564s,26
11,12,Martin BrundleBRU,Jordan Peugeot,1:23.436,+1.578s,28
12,19,Mika SaloSAL,Tyrrell Yamaha,1:23.523,+1.665s,30
13,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:23.653,+1.795s,25
14,14,Johnny HerbertHER,Sauber Ford,1:23.675,+1.817s,22
15,8,David CoulthardCOU,McLaren Mercedes,1:24.330,+2.472s,26
16,20,Pedro LamyLAM,Minardi Ford,1:25.023,+3.165s,27
17,10,Pedro DinizDIN,Ligier Mugen Honda,1:25.270,+3.412s,23
18,17,Jos VerstappenVER,Footwork Hart,1:25.339,+3.481s,11
19,16,Ricardo RossetROS,Footwork Hart,1:25.402,+3.544s,20
20,21,Giovanni LavaggiLAV,Minardi Ford,1:27.963,+6.105s,15
