Pos,No,Driver,Car,Time
1,5,Damon HillHIL,Williams Renault,1:20.330
2,6,Jacques VilleneuveVIL,Williams Renault,1:20.339
3,3,Jean AlesiALE,Benetton Renault,1:21.088
4,1,Michael SchumacherMSC,Ferrari,1:21.236
5,4,Gerhard BergerBER,Benetton Renault,1:21.293
6,2,Eddie IrvineIRV,Ferrari,1:21.362
7,7,Mika HakkinenHAK,McLaren Mercedes,1:21.640
8,8,David CoulthardCOU,McLaren Mercedes,1:22.066
9,11,Rubens BarrichelloBAR,Jordan Peugeot,1:22.205
10,12,Martin BrundleBRU,Jordan Peugeot,1:22.324
11,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:22.325
12,14,Johnny HerbertHER,Sauber Ford,1:22.655
13,19,Mika SaloSAL,Tyrrell Yamaha,1:22.765
14,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:23.013
15,9,Olivier PanisPAN,Ligier Mugen Honda,1:23.055
16,17,Jos VerstappenVER,Footwork Hart,1:23.531
17,16,Ricardo RossetROS,Footwork Hart,1:24.230
18,10,Pedro DinizDIN,Ligier Mugen Honda,1:24.293
19,20,Pedro LamyLAM,Minardi Ford,1:24.510
20,21,Giovanni LavaggiLAV,Minardi Ford,1:25.612
