Pos,No,Driver,Car,Lap,Time
1,4,Heinz-Harald FrentzenFRE,Williams Renault,36,1:30.585
2,5,Michael SchumacherMSC,Ferrari,54,1:31.067
3,10,David CoulthardCOU,McLaren Mercedes,29,1:31.412
4,9,Mika HakkinenHAK,McLaren Mercedes,33,1:31.509
5,8,Gerhard BergerBER,Benetton Renault,54,1:31.624
6,14,Olivier PanisPAN,Prost Mugen Honda,40,1:31.762
7,7,Jean AlesiALE,Benetton Renault,33,1:31.976
8,17,Nicola LariniLAR,Sauber Petronas,27,1:32.784
9,22,Rubens BarrichelloBAR,Stewart Ford,24,1:33.386
10,12,Giancarlo FisichellaFIS,Jordan Peugeot,14,1:34.147
11,15,Shinji NakanoNAK,Prost Mugen Honda,52,1:34.171
12,19,Mika SaloSAL,Tyrrell Ford,22,1:34.194
13,2,Pedro DinizDIN,Arrows Yamaha,23,1:34.465
14,20,Ukyo KatayamaKAT,Minardi Hart,14,1:34.918
15,23,Jan MagnussenMAG,Stewart Ford,26,1:35.257
16,21,Jarno TrulliTRU,Minardi Hart,21,1:35.959
17,18,Jos VerstappenVER,Tyrrell Ford,2,1:37.038
18,11,Ralf SchumacherRSC,Jordan Peugeot,1,1:48.323
