Pos,No,Driver,Car,Lap,Time
1,3,Jacques VilleneuveVIL,Williams Renault,36,1:11.814
2,5,Michael SchumacherMSC,Ferrari,71,1:12.169
3,10,David CoulthardCOU,McLaren Mercedes,65,1:12.207
4,4,Heinz-Harald FrentzenFRE,Williams Renault,55,1:12.223
5,12,Giancarlo FisichellaFIS,Jordan Peugeot,64,1:12.375
6,22,Rubens BarrichelloBAR,Stewart Ford,55,1:12.535
7,16,Johnny HerbertHER,Sauber Petronas,34,1:12.574
8,14,Jarno TrulliTRU,Prost Mugen Honda,30,1:12.598
9,23,Jan MagnussenMAG,Stewart Ford,38,1:12.605
10,8,Gerhard BergerBER,Benetton Renault,66,1:12.624
11,6,Eddie IrvineIRV,Ferrari,35,1:12.704
12,17,Gianni MorbidelliMOR,Sauber Petronas,71,1:12.826
13,11,Ralf SchumacherRSC,Jordan Peugeot,65,1:12.862
14,1,Damon HillHIL,Arrows Yamaha,53,1:12.903
15,7,Jean AlesiALE,Benetton Renault,29,1:12.953
16,15,Shinji NakanoNAK,Prost Mugen Honda,57,1:13.010
17,2,Pedro DinizDIN,Arrows Yamaha,63,1:13.074
18,18,Jos VerstappenVER,Tyrrell Ford,69,1:13.708
19,19,Mika SaloSAL,Tyrrell Ford,34,1:13.862
20,20,Ukyo KatayamaKAT,Minardi Hart,63,1:14.394
21,9,Mika HakkinenHAK,McLaren Mercedes,1,1:31.574
