Pos,No,Driver,Car,Lap,Time
1,4,Heinz-Harald FrentzenFRE,Williams Renault,30,1:23.135
2,8,Gerhard BergerBER,Benetton Renault,31,1:23.361
3,5,Michael SchumacherMSC,Ferrari,42,1:23.692
4,3,Jacques VilleneuveVIL,Williams Renault,42,1:23.906
5,14,Olivier PanisPAN,Prost Mugen Honda,45,1:23.941
6,7,Jean AlesiALE,Benetton Renault,27,1:23.975
7,10,David CoulthardCOU,McLaren Mercedes,27,1:24.006
8,9,Mika HakkinenHAK,McLaren Mercedes,28,1:24.072
9,6,Eddie IrvineIRV,Ferrari,37,1:24.266
10,1,Damon HillHIL,Arrows Yamaha,40,1:24.274
11,15,Shinji NakanoNAK,Prost Mugen Honda,45,1:24.679
12,17,Norberto FontanaFON,Sauber Petronas,32,1:25.154
13,16,Johnny HerbertHER,Sauber Petronas,30,1:25.159
14,19,Mika SaloSAL,Tyrrell Ford,37,1:25.237
15,23,Jan MagnussenMAG,Stewart Ford,31,1:25.370
16,12,Giancarlo FisichellaFIS,Jordan Peugeot,45,1:25.434
17,11,Ralf SchumacherRSC,Jordan Peugeot,34,1:25.895
18,21,Tarso MarquesMAR,Minardi Hart,55,1:25.947
19,22,Rubens BarrichelloBAR,Stewart Ford,13,1:26.169
20,20,Ukyo KatayamaKAT,Minardi Hart,27,1:26.215
21,18,Jos VerstappenVER,Tyrrell Ford,40,1:26.369
22,2,Pedro DinizDIN,Minardi Hart,3,1:26.434
