Pos,No,Driver,Car,Time,Gap,Laps
1,3,Jacques VilleneuveVIL,Williams Renault,1:50.407,,25
2,7,Jean AlesiALE,Benetton Renault,1:50.947,+0.540s,21
3,4,Heinz-Harald FrentzenFRE,Williams Renault,1:51.179,+0.772s,23
4,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:51.625,+1.218s,24
5,8,Gerhard BergerBER,Benetton Renault,1:52.057,+1.650s,21
6,1,Damon HillHIL,Arrows Yamaha,1:52.402,+1.995s,20
7,5,Michael SchumacherMSC,Ferrari,1:52.562,+2.155s,17
8,10,David CoulthardCOU,McLaren Mercedes,1:52.604,+2.197s,20
9,11,Ralf SchumacherRSC,Jordan Peugeot,1:52.682,+2.275s,26
10,22,Rubens BarrichelloBAR,Stewart Ford,1:52.688,+2.281s,19
11,19,Mika SaloSAL,Tyrrell Ford,1:53.929,+3.522s,27
12,16,Johnny HerbertHER,Sauber Petronas,1:53.977,+3.570s,20
13,20,Ukyo KatayamaKAT,Minardi Hart,1:54.150,+3.743s,16
14,15,Shinji NakanoNAK,Prost Mugen Honda,1:54.299,+3.892s,21
15,17,Gianni MorbidelliMOR,Sauber Petronas,1:54.310,+3.903s,16
16,21,Tarso MarquesMAR,Minardi Hart,1:54.521,+4.114s,16
17,23,Jan MagnussenMAG,Stewart Ford,1:54.608,+4.201s,19
18,18,Jos VerstappenVER,Tyrrell Ford,1:54.799,+4.392s,24
19,14,Jarno TrulliTRU,Prost Mugen Honda,1:55.895,+5.488s,15
20,2,Pedro DinizDIN,Arrows Yamaha,1:56.360,+5.953s,12
21,9,Mika HakkinenHAK,McLaren Mercedes,2:06.429,+16.022s,7
22,6,Eddie IrvineIRV,Ferrari,2:07.786,+17.379s,13
