Pos,No,Driver,Car,Time,Gap,Laps
1,3,Jacques VilleneuveVIL,Williams Renault,1:14.596,,19
2,4,Heinz-Harald FrentzenFRE,Williams Renault,1:14.987,+0.391s,20
3,6,Eddie IrvineIRV,Ferrari,1:15.184,+0.588s,22
4,5,Michael SchumacherMSC,Ferrari,1:15.313,+0.717s,22
5,10,David CoulthardCOU,McLaren Mercedes,1:15.443,+0.847s,26
6,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:15.452,+0.856s,29
7,15,Shinji NakanoNAK,Prost Mugen Honda,1:15.858,+1.262s,29
8,8,Alexander WurzWUR,Benetton Renault,1:15.885,+1.289s,20
9,14,Jarno TrulliTRU,Prost Mugen Honda,1:16.162,+1.566s,28
10,11,Ralf SchumacherRSC,Jordan Peugeot,1:16.232,+1.636s,14
11,9,Mika HakkinenHAK,McLaren Mercedes,1:16.243,+1.647s,24
12,7,Jean AlesiALE,Benetton Renault,1:16.320,+1.724s,13
13,16,Johnny HerbertHER,Sauber Petronas,1:16.523,+1.927s,30
14,22,Rubens BarrichelloBAR,Stewart Ford,1:16.609,+2.013s,21
15,18,Jos VerstappenVER,Tyrrell Ford,1:16.941,+2.345s,26
16,23,Jan MagnussenMAG,Stewart Ford,1:17.008,+2.412s,14
17,19,Mika SaloSAL,Tyrrell Ford,1:17.085,+2.489s,29
18,2,Pedro DinizDIN,Arrows Yamaha,1:17.174,+2.578s,28
19,17,Norberto FontanaFON,Sauber Petronas,1:17.263,+2.667s,28
20,1,Damon HillHIL,Arrows Yamaha,1:17.280,+2.684s,26
21,21,Tarso MarquesMAR,Minardi Hart,1:18.109,+3.513s,27
22,20,Ukyo KatayamaKAT,Minardi Hart,1:19.469,+4.873s,7
