Pos,No,Driver,Car,Time,Laps
1,9,Mika HakkinenHAK,McLaren Mercedes,1:16.602,11
2,3,Jacques VilleneuveVIL,Williams Renault,1:16.691,10
3,4,Heinz-Harald FrentzenFRE,Williams Renault,1:16.741,12
4,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:17.289,11
5,5,Michael SchumacherMSC,Ferrari,1:17.385,11
6,10,David CoulthardCOU,McLaren Mercedes,1:17.387,12
7,8,Gerhard BergerBER,Benetton Renault,1:17.587,9
8,11,Ralf SchumacherRSC,Jordan Peugeot,1:17.595,11
9,22,Rubens BarrichelloBAR,Stewart Ford,1:17.614,12
10,7,Jean AlesiALE,Benetton Renault,1:17.620,11
11,14,Olivier PanisPAN,Prost Mugen Honda,1:17.650,11
12,23,Jan MagnussenMAG,Stewart Ford,1:17.722,11
13,1,Damon HillHIL,Arrows Yamaha,1:17.795,12
14,6,Eddie IrvineIRV,Ferrari,1:17.855,12
15,2,Pedro DinizDIN,Arrows Yamaha,1:18.128,11
16,16,Johnny HerbertHER,Sauber Petronas,1:18.303,10
17,15,Shinji NakanoNAK,Prost Mugen Honda,1:18.699,12
18,21,Tarso MarquesMAR,Minardi Hart,1:19.347,12
19,17,Gianni MorbidelliMOR,Sauber Petronas,1:19.490,12
20,19,Mika SaloSAL,Tyrrell Ford,1:19.526,12
21,18,Jos VerstappenVER,Tyrrell Ford,1:19.531,12
22,20,Ukyo KatayamaKAT,Minardi Hart,1:20.615,11
