Pos,No,Driver,Car,Laps,Time/retired,Pts
1,3,Jacques VilleneuveVIL,Williams Renault,67,1:31:27.843,10
2,7,Jean AlesiALE,Benetton Renault,67,+11.770s,6
3,4,Heinz-Harald FrentzenFRE,Williams Renault,67,+13.480s,4
4,8,Gerhard BergerBER,Benetton Renault,67,+16.416s,3
5,2,Pedro DinizDIN,Arrows Yamaha,67,+43.147s,2
6,14,Olivier PanisPAN,Prost Mugen Honda,67,+43.750s,1
7,16,Johnny HerbertHER,Sauber Petronas,67,+44.354s,0
8,1,Damon HillHIL,Arrows Yamaha,67,+44.777s,0
9,17,Gianni MorbidelliMOR,Sauber Petronas,66,+1 lap,0
10,19,Mika SaloSAL,Tyrrell Ford,66,+1 lap,0
NC,18,Jos VerstappenVER,Tyrrell Ford,50,DNF,0
NC,9,Mika HakkinenHAK,McLaren Mercedes,43,DNF,0
NC,22,Rubens BarrichelloBAR,Stewart Ford,43,DNF,0
NC,10,David CoulthardCOU,McLaren Mercedes,42,DNF,0
NC,23,Jan MagnussenMAG,Stewart Ford,40,DNF,0
NC,6,Eddie IrvineIRV,Ferrari,22,DNF,0
NC,15,Shinji NakanoNAK,Prost Mugen Honda,16,DNF,0
NC,5,Michael SchumacherMSC,Ferrari,2,DNF,0
NC,21,Tarso MarquesMAR,Minardi Hart,1,DNF,0
NC,20,Ukyo KatayamaKAT,Minardi Hart,1,DNF,0
NC,11,Ralf SchumacherRSC,Jordan Peugeot,0,DNF,0
NC,12,Giancarlo FisichellaFIS,Jordan Peugeot,0,DNF,0
