Pos,No,Driver,Car,Lap,Time,Avg speed
1,7,David CoulthardCOU,McLaren Mercedes,56,1:17.523,197.360
2,3,Michael SchumacherMSC,Ferrari,4,1:17.770,196.733
3,8,Mika HakkinenHAK,McLaren Mercedes,51,1:18.493,194.921
4,1,Jacques VilleneuveVIL,Williams Mecachrome,41,1:18.913,193.884
5,4,Eddie IrvineIRV,Ferrari,24,1:18.956,193.778
6,10,Ralf SchumacherRSC,Jordan Mugen Honda,53,1:19.052,193.543
7,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,47,1:19.229,193.111
8,5,Giancarlo FisichellaFIS,Benetton Playlife,46,1:19.307,192.921
9,6,Alexander WurzWUR,Benetton Playlife,34,1:19.320,192.889
10,9,Damon HillHIL,Jordan Mugen Honda,4,1:19.490,192.477
11,14,Jean AlesiALE,Sauber Petronas,46,1:19.660,192.066
12,15,Johnny HerbertHER,Sauber Petronas,49,1:19.771,191.799
13,12,Jarno TrulliTRU,Prost Peugeot,5,1:19.869,191.563
14,11,Olivier PanisPAN,Prost Peugeot,31,1:19.953,191.362
15,21,Toranosuke TakagiTAK,Tyrrell Ford,35,1:20.299,190.537
16,18,Rubens BarrichelloBAR,Stewart Ford,42,1:20.651,189.706
17,19,Jos VerstappenVER,Stewart Ford,45,1:20.849,189.241
18,17,Mika SaloSAL,Arrows,60,1:21.502,187.725
19,16,Pedro DinizDIN,Arrows,38,1:21.765,187.121
20,22,Shinji NakanoNAK,Minardi Ford,41,1:21.883,186.851
21,20,Ricardo RossetROS,Tyrrell Ford,3,1:22.435,185.600
22,23,Esteban TueroTUE,Minardi Ford,34,1:22.761,184.869
