Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,7,David CoulthardCOU,McLaren Mercedes,9,15:18:10,30.867,30.867
1,23,Esteban TueroTUE,Minardi Ford,9,15:18:55,31.603,31.603
1,4,Eddie IrvineIRV,Ferrari,10,15:19:37,40.142,40.142
1,10,Ralf SchumacherRSC,Jordan Mugen Honda,11,15:21:47,31.506,31.506
1,3,Michael SchumacherMSC,Ferrari,16,15:31:55,31.147,31.147
1,9,Damon HillHIL,Jordan Mugen Honda,16,15:32:15,34.088,34.088
1,14,Jean AlesiALE,Sauber Petronas,16,15:32:41,31.000,31.000
1,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,16,15:32:46,31.822,31.822
1,5,Giancarlo FisichellaFIS,Benetton Playlife,16,15:32:57,38.510,38.510
1,16,Pedro DinizDIN,Arrows,21,15:44:58,33.346,33.346
1,12,Jarno TrulliTRU,Prost Peugeot,21,15:45:19,32.831,32.831
2,4,Eddie IrvineIRV,Ferrari,24,15:51:14,31.793,1:11.935
2,7,David CoulthardCOU,McLaren Mercedes,24,15:52:40,13:17.692,13:48.559
1,22,Shinji NakanoNAK,Minardi Ford,24,15:53:09,33.211,33.211
2,10,Ralf SchumacherRSC,Jordan Mugen Honda,27,15:57:28,33.342,1:04.848
2,22,Shinji NakanoNAK,Minardi Ford,26,15:58:30,13:45.304,14:18.515
2,9,Damon HillHIL,Jordan Mugen Honda,28,15:59:34,30.663,1:04.751
2,14,Jean AlesiALE,Sauber Petronas,28,15:59:53,33.789,1:04.789
2,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,28,16:00:20,32.134,1:03.956
