Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,11,Olivier PanisPAN,Prost Peugeot,16,14:57:01,26.111,26.111
1,21,Toranosuke TakagiTAK,Tyrrell Ford,20,15:02:24,26.702,26.702
1,3,Michael SchumacherMSC,Ferrari,30,15:15:21,24.328,24.328
1,14,Jean AlesiALE,Sauber Petronas,30,15:16:02,24.876,24.876
1,5,Giancarlo FisichellaFIS,Benetton Playlife,31,15:16:48,27.644,27.644
1,8,Mika HakkinenHAK,McLaren Mercedes,37,15:24:54,26.603,26.603
1,12,Jarno TrulliTRU,Prost Peugeot,37,15:27:05,30.548,30.548
2,3,Michael SchumacherMSC,Ferrari,38,15:27:09,4:05.291,4:29.619
1,15,Johnny HerbertHER,Sauber Petronas,38,15:28:30,26.312,26.312
1,17,Mika SaloSAL,Arrows,41,15:31:40,27.368,27.368
1,22,Shinji NakanoNAK,Minardi Ford,40,15:31:59,29.992,29.992
1,6,Alexander WurzWUR,Benetton Playlife,42,15:32:47,27.200,27.200
2,21,Toranosuke TakagiTAK,Tyrrell Ford,42,15:34:57,29.909,56.611
1,16,Pedro DinizDIN,Arrows,43,15:35:36,28.466,28.466
1,9,Damon HillHIL,Jordan Mugen Honda,43,15:36:00,26.200,26.200
1,4,Eddie IrvineIRV,Ferrari,45,15:37:23,25.317,25.317
1,10,Ralf SchumacherRSC,Jordan Mugen Honda,44,15:37:41,35.483,35.483
1,1,Jacques VilleneuveVIL,Williams Mecachrome,54,15:51:30,24.449,24.449
2,14,Jean AlesiALE,Sauber Petronas,55,15:52:03,24.352,49.228
