Pos,No,Driver,Car,Time,Gap,Laps
1,7,David CoulthardCOU,McLaren Mercedes,1:28.130,,16
2,3,Michael SchumacherMSC,Ferrari,1:29.114,+0.984s,22
3,8,Mika HakkinenHAK,McLaren Mercedes,1:29.488,+1.358s,15
4,1,Jacques VilleneuveVIL,Williams Mecachrome,1:29.610,+1.480s,20
5,4,Eddie IrvineIRV,Ferrari,1:29.781,+1.651s,29
6,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:29.845,+1.715s,24
7,21,Toranosuke TakagiTAK,Tyrrell Ford,1:30.054,+1.924s,27
8,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:30.317,+2.187s,16
9,9,Damon HillHIL,Jordan Mugen Honda,1:30.645,+2.515s,35
10,14,Jean AlesiALE,Sauber Petronas,1:30.859,+2.729s,14
11,5,Giancarlo FisichellaFIS,Benetton Playlife,1:30.963,+2.833s,22
12,15,Johnny HerbertHER,Sauber Petronas,1:31.081,+2.951s,16
13,11,Olivier PanisPAN,Prost Peugeot,1:31.297,+3.167s,16
14,12,Jarno TrulliTRU,Prost Peugeot,1:31.428,+3.298s,24
15,18,Rubens BarrichelloBAR,Stewart Ford,1:31.727,+3.597s,20
16,20,Ricardo RossetROS,Tyrrell Ford,1:31.761,+3.631s,25
17,6,Alexander WurzWUR,Benetton Playlife,1:31.850,+3.720s,23
18,17,Mika SaloSAL,Arrows,1:32.257,+4.127s,22
19,16,Pedro DinizDIN,Arrows,1:32.660,+4.530s,18
20,22,Shinji NakanoNAK,Minardi Ford,1:33.390,+5.260s,19
21,23,Esteban TueroTUE,Minardi Ford,1:33.731,+5.601s,18
22,19,Jan MagnussenMAG,Stewart Ford,1:34.829,+6.699s,18
