Pos,No,Driver,Car,Time,Laps
1,8,Mika HakkinenHAK,McLaren Mercedes,1:41.838,12
2,7,David CoulthardCOU,McLaren Mercedes,1:42.347,9
3,1,Jacques VilleneuveVIL,Williams Mecachrome,1:42.365,12
4,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:42.994,12
5,9,Damon HillHIL,Jordan Mugen Honda,1:43.183,12
6,4,Eddie IrvineIRV,Ferrari,1:43.270,11
7,6,Alexander WurzWUR,Benetton Playlife,1:43.341,11
8,5,Giancarlo FisichellaFIS,Benetton Playlife,1:43.369,12
9,3,Michael SchumacherMSC,Ferrari,1:43.459,12
10,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:43.467,11
11,14,Jean AlesiALE,Sauber Petronas,1:43.663,12
12,15,Johnny HerbertHER,Sauber Petronas,1:44.599,11
13,18,Rubens BarrichelloBAR,Stewart Ford,1:44.776,12
14,12,Jarno TrulliTRU,Prost Peugeot,1:44.844,12
15,21,Toranosuke TakagiTAK,Tyrrell Ford,1:44.961,11
16,11,Olivier PanisPAN,Prost Peugeot,1:45.197,12
17,17,Mika SaloSAL,Arrows,1:45.276,12
18,16,Pedro DinizDIN,Arrows,1:45.588,12
19,19,Jos VerstappenVER,Stewart Ford,1:45.623,11
20,22,Shinji NakanoNAK,Minardi Ford,1:46.713,12
21,23,Esteban TueroTUE,Minardi Ford,1:47.265,12
