Pos,No,Driver,Car,Time,Laps
1,8,Mika HakkinenHAK,McLaren Mercedes,1:19.798,12
2,7,David CoulthardCOU,McLaren Mercedes,1:20.137,11
3,5,Giancarlo FisichellaFIS,Benetton Playlife,1:20.368,12
4,3,Michael SchumacherMSC,Ferrari,1:20.702,11
5,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:20.729,12
6,6,Alexander WurzWUR,Benetton Playlife,1:20.955,12
7,4,Eddie IrvineIRV,Ferrari,1:21.712,11
8,17,Mika SaloSAL,Arrows,1:22.144,11
9,15,Johnny HerbertHER,Sauber Petronas,1:22.157,11
10,12,Jarno TrulliTRU,Prost Peugeot,1:22.238,12
11,14,Jean AlesiALE,Sauber Petronas,1:22.257,12
12,16,Pedro DinizDIN,Arrows,1:22.355,12
13,1,Jacques VilleneuveVIL,Williams Mecachrome,1:22.468,12
14,18,Rubens BarrichelloBAR,Stewart Ford,1:22.540,11
15,9,Damon HillHIL,Jordan Mugen Honda,1:23.151,12
16,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:23.263,12
17,19,Jan MagnussenMAG,Stewart Ford,1:23.411,12
18,11,Olivier PanisPAN,Prost Peugeot,1:23.536,11
19,22,Shinji NakanoNAK,Minardi Ford,1:23.957,12
20,21,Toranosuke TakagiTAK,Tyrrell Ford,1:24.024,12
21,23,Esteban TueroTUE,Minardi Ford,1:24.031,12
NC,20,Ricardo RossetROS,Tyrrell Ford,1:25.737,9
