Pos,No,Driver,Car,Time,Laps
1,8,Mika HakkinenHAK,McLaren Mercedes,1:14.929,12
2,3,Michael SchumacherMSC,Ferrari,1:15.159,12
3,7,David CoulthardCOU,McLaren Mercedes,1:15.333,12
4,4,Eddie IrvineIRV,Ferrari,1:15.527,12
5,1,Jacques VilleneuveVIL,Williams Mecachrome,1:15.630,12
6,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:15.925,12
7,9,Damon HillHIL,Jordan Mugen Honda,1:16.245,9
8,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:16.319,12
9,5,Giancarlo FisichellaFIS,Benetton Playlife,1:16.375,12
10,6,Alexander WurzWUR,Benetton Playlife,1:16.460,12
11,14,Jean AlesiALE,Sauber Petronas,1:16.627,12
12,12,Jarno TrulliTRU,Prost Peugeot,1:16.892,12
13,15,Johnny HerbertHER,Sauber Petronas,1:16.977,12
14,18,Rubens BarrichelloBAR,Stewart Ford,1:17.024,12
15,19,Jos VerstappenVER,Stewart Ford,1:17.604,11
16,11,Olivier PanisPAN,Prost Peugeot,1:17.671,11
17,16,Pedro DinizDIN,Arrows,1:17.880,8
18,20,Ricardo RossetROS,Tyrrell Ford,1:17.908,11
19,17,Mika SaloSAL,Arrows,1:17.970,11
20,21,Toranosuke TakagiTAK,Tyrrell Ford,1:18.221,10
21,22,Shinji NakanoNAK,Minardi Ford,1:18.273,12
22,23,Esteban TueroTUE,Minardi Ford,1:19.146,10
