Pos,No,Driver,Car,Laps,Time/retired,Pts
1,8,Mika HakkinenHAK,McLaren Mercedes,72,1:37:11.747,10
2,7,David CoulthardCOU,McLaren Mercedes,72,+1.102s,6
3,3,Michael SchumacherMSC,Ferrari,72,+60.550s,4
4,6,Alexander WurzWUR,Benetton Playlife,72,+67.453s,3
5,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,71,+1 lap,2
6,5,Giancarlo FisichellaFIS,Benetton Playlife,71,+1 lap,1
7,1,Jacques VilleneuveVIL,Williams Mecachrome,71,+1 lap,0
8,4,Eddie IrvineIRV,Ferrari,71,+1 lap,0
9,14,Jean AlesiALE,Sauber Petronas,71,+1 lap,0
10,19,Jan MagnussenMAG,Stewart Ford,70,+2 laps,0
11,15,Johnny HerbertHER,Sauber Petronas,67,DNF,0
NC,11,Olivier PanisPAN,Prost Peugeot,63,DNF,0
NC,18,Rubens BarrichelloBAR,Stewart Ford,56,DNF,0
NC,20,Ricardo RossetROS,Tyrrell Ford,52,DNF,0
NC,23,Esteban TueroTUE,Minardi Ford,44,DNF,0
NC,16,Pedro DinizDIN,Arrows,26,DNF,0
NC,21,Toranosuke TakagiTAK,Tyrrell Ford,19,DNF,0
NC,17,Mika SaloSAL,Arrows,18,DNF,0
NC,12,Jarno TrulliTRU,Prost Peugeot,17,DNF,0
NC,22,Shinji NakanoNAK,Minardi Ford,3,DNF,0
NC,10,Ralf SchumacherRSC,Jordan Mugen Honda,0,DNF,0
