Pos,No,Driver,Car,Time
1,3,Michael SchumacherMSC,Ferrari,1:18.561
2,4,Eddie IrvineIRV,Ferrari,1:18.907
3,8,Mika HakkinenHAK,McLaren Mercedes,1:18.940
4,5,Giancarlo FisichellaFIS,Benetton Playlife,1:19.048
5,7,David CoulthardCOU,McLaren Mercedes,1:19.169
6,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:19.455
7,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:19.522
8,6,Alexander WurzWUR,Benetton Playlife,1:19.569
9,1,Jacques VilleneuveVIL,Williams Mecachrome,1:19.631
10,9,Damon HillHIL,Jordan Mugen Honda,1:19.807
11,14,Jean AlesiALE,Sauber Petronas,1:20.493
12,18,Rubens BarrichelloBAR,Stewart Ford,1:20.530
13,15,Johnny HerbertHER,Sauber Petronas,1:20.650
14,12,Jarno TrulliTRU,Prost Peugeot,1:20.709
15,11,Olivier PanisPAN,Prost Peugeot,1:21.048
16,17,Mika SaloSAL,Arrows,1:21.120
17,16,Pedro DinizDIN,Arrows,1:21.258
18,19,Jos VerstappenVER,Stewart Ford,1:21.501
19,21,Toranosuke TakagiTAK,Tyrrell Ford,1:21.525
20,22,Shinji NakanoNAK,Minardi Ford,1:22.078
21,23,Esteban TueroTUE,Minardi Ford,1:22.146
22,20,Ricardo RossetROS,Tyrrell Ford,1:22.822
