Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,5,Alessandro ZanardiZAN,Williams Supertec,13,14:34:13,23.512,23.512
1,12,Pedro DinizDIN,Sauber Petronas,15,14:36:55,24.711,24.711
1,23,Ricardo ZontaZON,BAR Supertec,15,14:37:00,34.918,34.918
1,20,Luca BadoerBAD,Minardi Ford,15,14:37:34,46.637,46.637
1,9,Giancarlo FisichellaFIS,Benetton Playlife,18,14:43:44,37.052,37.052
1,1,Mika HakkinenHAK,McLaren Mercedes,18,14:43:46,47.557,47.557
1,19,Jarno TrulliTRU,Prost Peugeot,22,14:49:45,23.752,23.752
1,16,Rubens BarrichelloBAR,Stewart Ford,22,14:49:50,25.027,25.027
1,14,Pedro de la RosaDLR,Arrows,22,14:50:00,23.919,23.919
1,21,Marc GeneGEN,Minardi Ford,23,14:51:57,27.215,27.215
2,19,Jarno TrulliTRU,Prost Peugeot,23,14:51:58,28.602,52.354
1,10,Alexander WurzWUR,Benetton Playlife,27,15:00:14,27.315,27.315
1,3,Michael SchumacherMSC,Ferrari,27,15:00:38,41.287,41.287
2,16,Rubens BarrichelloBAR,Stewart Ford,31,15:06:30,26.345,51.372
2,23,Ricardo ZontaZON,BAR Supertec,31,15:06:42,29.441,1:04.359
1,15,Toranosuke TakagiTAK,Arrows,32,15:08:19,27.046,27.046
3,16,Rubens BarrichelloBAR,Stewart Ford,32,15:08:31,26.335,1:17.707
1,6,Ralf SchumacherRSC,Williams Supertec,33,15:09:33,24.890,24.890
2,20,Luca BadoerBAD,Minardi Ford,33,15:10:08,27.282,1:13.919
1,4,Eddie IrvineIRV,Ferrari,34,15:11:01,24.474,24.474
1,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,34,15:11:03,24.630,24.630
2,9,Giancarlo FisichellaFIS,Benetton Playlife,37,15:16:13,25.520,1:02.572
2,3,Michael SchumacherMSC,Ferrari,37,15:17:18,11.371,52.658
3,3,Michael SchumacherMSC,Ferrari,38,15:19:09,46.248,1:38.906
2,14,Pedro de la RosaDLR,Arrows,40,15:21:16,23.293,47.212
3,23,Ricardo ZontaZON,BAR Supertec,46,15:31:21,28.728,1:33.087
