Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,18,Olivier PanisPAN,Prost Peugeot,21,14:31:32,27.102,27.102
1,4,Eddie IrvineIRV,Ferrari,21,14:31:36,1:03.796,1:03.796
1,9,Giancarlo FisichellaFIS,Benetton Playlife,21,14:31:45,33.768,33.768
1,10,Alexander WurzWUR,Benetton Playlife,21,14:31:46,55.787,55.787
1,22,Jacques VilleneuveVIL,BAR Supertec,21,14:31:52,31.957,31.957
1,7,Damon HillHIL,Jordan Mugen Honda,21,14:32:01,46.939,46.939
1,14,Pedro de la RosaDLR,Arrows,21,14:32:17,32.181,32.181
1,15,Toranosuke TakagiTAK,Arrows,21,14:32:19,1:00.845,1:00.845
1,21,Marc GeneGEN,Minardi Ford,21,14:32:35,31.260,31.260
1,16,Rubens BarrichelloBAR,Stewart Ford,22,14:32:56,31.067,31.067
1,1,Mika HakkinenHAK,McLaren Mercedes,22,14:33:00,28.769,28.769
1,11,Jean AlesiALE,Sauber Petronas,22,14:33:01,30.292,30.292
1,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,22,14:33:04,32.800,32.800
1,3,Michael SchumacherMSC,Ferrari,22,14:33:09,27.946,27.946
1,6,Ralf SchumacherRSC,Williams Supertec,22,14:33:17,32.593,32.593
1,19,Jarno TrulliTRU,Prost Peugeot,22,14:33:19,27.465,27.465
1,23,Ricardo ZontaZON,BAR Supertec,22,14:33:48,32.892,32.892
1,5,Alessandro ZanardiZAN,Williams Supertec,22,14:33:54,34.142,34.142
1,20,Luca BadoerBAD,Minardi Ford,22,14:34:21,30.794,30.794
2,7,Damon HillHIL,Jordan Mugen Honda,22,14:36:12,49.730,1:36.669
2,22,Jacques VilleneuveVIL,BAR Supertec,25,14:39:13,28.289,1:00.246
2,15,Toranosuke TakagiTAK,Arrows,28,14:46:38,36.014,1:36.859
2,4,Eddie IrvineIRV,Ferrari,50,15:27:05,25.461,1:29.257
2,6,Ralf SchumacherRSC,Williams Supertec,52,15:30:12,25.943,58.536
2,3,Michael SchumacherMSC,Ferrari,54,15:33:13,31.627,59.573
2,18,Olivier PanisPAN,Prost Peugeot,57,15:38:04,24.974,52.076
2,19,Jarno TrulliTRU,Prost Peugeot,59,15:41:17,24.315,51.780
2,14,Pedro de la RosaDLR,Arrows,60,15:44:18,32.798,1:04.979
2,23,Ricardo ZontaZON,BAR Supertec,61,15:44:51,30.411,1:03.303
2,1,Mika HakkinenHAK,McLaren Mercedes,65,15:50:04,25.480,54.249
2,16,Rubens BarrichelloBAR,Stewart Ford,65,15:50:22,25.993,57.060
2,20,Luca BadoerBAD,Minardi Ford,67,15:54:56,23.462,54.256
