Pos,No,Driver,Car,Time,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:22.432,10
2,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:22.926,11
3,2,David CoulthardCOU,McLaren Mercedes,1:23.177,12
4,5,Alessandro ZanardiZAN,Williams Supertec,1:23.432,12
5,6,Ralf SchumacherRSC,Williams Supertec,1:23.636,12
6,3,Mika SaloSAL,Ferrari,1:23.657,12
7,16,Rubens BarrichelloBAR,Stewart Ford,1:23.739,11
8,4,Eddie IrvineIRV,Ferrari,1:23.765,12
9,7,Damon HillHIL,Jordan Mugen Honda,1:23.979,11
10,18,Olivier PanisPAN,Prost Peugeot,1:24.016,12
11,22,Jacques VilleneuveVIL,BAR Supertec,1:24.188,11
12,19,Jarno TrulliTRU,Prost Peugeot,1:24.293,11
13,11,Jean AlesiALE,Sauber Petronas,1:24.591,12
14,10,Alexander WurzWUR,Benetton Playlife,1:24.593,12
15,17,Johnny HerbertHER,Stewart Ford,1:24.594,12
16,12,Pedro DinizDIN,Sauber Petronas,1:24.596,11
17,9,Giancarlo FisichellaFIS,Benetton Playlife,1:24.862,12
18,23,Ricardo ZontaZON,BAR Supertec,1:25.114,12
19,20,Luca BadoerBAD,Minardi Ford,1:25.348,11
20,21,Marc GeneGEN,Minardi Ford,1:25.695,12
21,14,Pedro de la RosaDLR,Arrows,1:26.383,11
22,15,Toranosuke TakagiTAK,Arrows,1:26.509,12
