Pos,No,Driver,Car,Time,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:26.362,11
2,2,David CoulthardCOU,McLaren Mercedes,1:26.384,10
3,3,Michael SchumacherMSC,Ferrari,1:26.538,12
4,4,Eddie IrvineIRV,Ferrari,1:26.993,11
5,22,Jacques VilleneuveVIL,BAR Supertec,1:27.313,12
6,16,Rubens BarrichelloBAR,Stewart Ford,1:27.409,11
7,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:27.613,10
8,7,Damon HillHIL,Jordan Mugen Honda,1:27.708,11
9,6,Ralf SchumacherRSC,Williams Supertec,1:27.770,12
10,5,Alessandro ZanardiZAN,Williams Supertec,1:28.142,11
11,18,Olivier PanisPAN,Prost Peugeot,1:28.205,12
12,17,Johnny HerbertHER,Stewart Ford,1:28.246,11
13,11,Jean AlesiALE,Sauber Petronas,1:28.253,12
14,19,Jarno TrulliTRU,Prost Peugeot,1:28.403,6
15,12,Pedro DinizDIN,Sauber Petronas,1:28.599,12
16,9,Giancarlo FisichellaFIS,Benetton Playlife,1:28.750,12
17,10,Alexander WurzWUR,Benetton Playlife,1:28.765,11
18,14,Pedro de la RosaDLR,Arrows,1:29.293,11
19,23,Mika SaloSAL,BAR Supertec,1:29.451,7
20,15,Toranosuke TakagiTAK,Arrows,1:29.656,12
21,21,Marc GeneGEN,Minardi Ford,1:30.035,12
22,20,Luca BadoerBAD,Minardi Ford,1:30.945,12
