Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,David CoulthardCOU,McLaren Mercedes,40,1:14.711,201.994
2,4,Rubens BarrichelloBAR,Ferrari,51,1:14.822,201.694
3,3,Michael SchumacherMSC,Ferrari,48,1:14.901,201.481
4,22,Jacques VilleneuveVIL,BAR Honda,68,1:15.117,200.902
5,16,Pedro DinizDIN,Sauber Petronas,69,1:15.305,200.401
6,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,69,1:15.521,199.827
7,12,Alexander WurzWUR,Benetton Playlife,70,1:15.560,199.724
8,9,Ralf SchumacherRSC,Williams BMW,55,1:15.598,199.624
9,7,Eddie IrvineIRV,Jaguar Cosworth,72,1:15.675,199.421
10,1,Mika HakkinenHAK,McLaren Mercedes,25,1:15.773,199.163
11,23,Ricardo ZontaZON,BAR Honda,48,1:15.812,199.060
12,8,Johnny HerbertHER,Jaguar Cosworth,69,1:15.812,199.060
13,20,Marc GeneGEN,Minardi Fondmetal,72,1:16.044,198.453
14,15,Nick HeidfeldHEI,Prost Peugeot,72,1:16.074,198.375
15,14,Jean AlesiALE,Prost Peugeot,44,1:16.124,198.244
16,11,Giancarlo FisichellaFIS,Benetton Playlife,42,1:16.234,197.958
17,19,Jos VerstappenVER,Arrows Supertec,34,1:16.252,197.912
18,18,Pedro de la RosaDLR,Arrows Supertec,36,1:16.276,197.849
19,21,Gaston MazzacaneMAZ,Minardi Fondmetal,41,1:16.711,196.727
20,17,Mika SaloSAL,Sauber Petronas,18,1:20.244,188.066
21,10,Jenson ButtonBUT,Williams BMW,12,1:22.977,181.872
22,6,Jarno TrulliTRU,Jordan Mugen Honda,4,1:24.770,178.025
