Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Mika HakkinenHAK,McLaren Mercedes,37,1:19.049,201.338
2,4,Rubens BarrichelloBAR,Ferrari,38,1:19.235,200.865
3,3,Michael SchumacherMSC,Ferrari,30,1:19.812,199.413
4,2,David CoulthardCOU,McLaren Mercedes,38,1:19.947,199.076
5,11,Giancarlo FisichellaFIS,Benetton Playlife,37,1:20.399,197.957
6,6,Jarno TrulliTRU,Jordan Mugen Honda,31,1:20.479,197.760
7,16,Pedro DinizDIN,Sauber Petronas,36,1:20.494,197.724
8,9,Ralf SchumacherRSC,Williams BMW,38,1:20.520,197.660
9,22,Jacques VilleneuveVIL,BAR Honda,39,1:20.533,197.628
10,20,Marc GeneGEN,Minardi Fondmetal,38,1:20.547,197.593
11,12,Alexander WurzWUR,Benetton Playlife,39,1:20.625,197.402
12,23,Ricardo ZontaZON,BAR Honda,38,1:20.686,197.253
13,19,Jos VerstappenVER,Arrows Supertec,34,1:20.693,197.236
14,7,Eddie IrvineIRV,Jaguar Cosworth,34,1:20.693,197.236
15,17,Mika SaloSAL,Sauber Petronas,37,1:20.696,197.229
16,10,Jenson ButtonBUT,Williams BMW,37,1:20.781,197.021
17,18,Pedro de la RosaDLR,Arrows Supertec,35,1:20.842,196.872
18,14,Jean AlesiALE,Prost Peugeot,20,1:20.889,196.758
19,15,Nick HeidfeldHEI,Prost Peugeot,31,1:21.096,196.256
20,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,21,1:21.110,196.222
21,21,Gaston MazzacaneMAZ,Minardi Fondmetal,37,1:21.196,196.014
22,8,Johnny HerbertHER,Jaguar Cosworth,10,1:22.369,193.223
