Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,25,1:21.151,209.831
2,3,Mika HakkinenHAK,McLaren Mercedes,49,1:21.368,209.271
3,2,Rubens BarrichelloBAR,Ferrari,27,1:21.720,208.370
4,4,David CoulthardCOU,McLaren Mercedes,41,1:22.091,207.428
5,5,Ralf SchumacherRSC,Williams BMW,19,1:22.362,206.745
6,9,Olivier PanisPAN,BAR Honda,26,1:22.475,206.462
7,10,Jacques VilleneuveVIL,BAR Honda,22,1:22.513,206.367
8,18,Eddie IrvineIRV,Jaguar Cosworth,23,1:22.568,206.230
9,16,Nick HeidfeldHEI,Sauber Petronas,26,1:22.738,205.806
10,6,Juan Pablo MontoyaMOY,Williams BMW,39,1:22.841,205.550
11,17,Kimi RäikkönenRAI,Sauber Petronas,40,1:23.049,205.035
12,12,Jarno TrulliTRU,Jordan Honda,24,1:23.087,204.941
13,22,Jean AlesiALE,Prost Acer,20,1:23.668,203.518
14,23,Luciano BurtiBUR,Prost Acer,23,1:23.794,203.212
15,14,Jos VerstappenVER,Arrows Asiatech,17,1:23.965,202.798
16,21,Fernando AlonsoALO,Minardi European,37,1:24.423,201.698
17,15,Enrique BernoldiBER,Arrows Asiatech,4,1:24.740,200.944
18,7,Giancarlo FisichellaFIS,Benetton Renault,14,1:25.298,199.629
19,8,Jenson ButtonBUT,Benetton Renault,57,1:25.406,199.377
20,20,Tarso MarquesMAR,Minardi European,16,1:25.791,198.482
21,19,Pedro de la RosaDLR,Jaguar Cosworth,3,1:25.932,198.156
22,11,Heinz-Harald FrentzenFRE,Jordan Honda,3,1:26.158,197.636
