Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,17,Kimi RäikkönenRAI,Sauber Petronas,2,13:06:03,30.837,30.837
1,5,Ralf SchumacherRSC,Williams BMW,24,13:33:51,26.975,26.975
1,2,Rubens BarrichelloBAR,Ferrari,27,13:37:22,22.874,22.874
1,20,Alex YoongYOO,Minardi European,26,13:37:29,25.011,25.011
1,16,Nick HeidfeldHEI,Sauber Petronas,27,13:37:49,22.423,22.423
1,8,Jenson ButtonBUT,Benetton Renault,35,13:48:30,26.662,26.662
1,6,Juan Pablo MontoyaMOY,Williams BMW,36,13:48:49,27.484,27.484
1,14,Jos VerstappenVER,Arrows Asiatech,36,13:50:13,25.916,25.916
1,12,Jean AlesiALE,Jordan Honda,37,13:50:52,26.611,26.611
1,15,Enrique BernoldiBER,Arrows Asiatech,37,13:51:21,27.648,27.648
1,23,Tomas EngeENG,Prost Acer,37,13:51:36,27.132,27.132
1,1,Michael SchumacherMSC,Ferrari,39,13:52:40,25.569,25.569
1,11,Jarno TrulliTRU,Jordan Honda,39,13:53:17,25.918,25.918
2,20,Alex YoongYOO,Minardi European,38,13:54:25,58.200,1:23.211
1,7,Giancarlo FisichellaFIS,Benetton Renault,41,13:56:10,24.460,24.460
1,22,Heinz-Harald FrentzenFRE,Prost Acer,42,13:57:35,25.112,25.112
1,4,David CoulthardCOU,McLaren Mercedes,43,13:57:54,23.067,23.067
1,10,Jacques VilleneuveVIL,BAR Honda,43,13:59:21,13.083,13.083
1,9,Olivier PanisPAN,BAR Honda,44,14:00:15,26.324,26.324
2,10,Jacques VilleneuveVIL,BAR Honda,44,14:01:04,24.738,37.821
1,3,Mika HakkinenHAK,McLaren Mercedes,46,14:01:33,23.350,23.350
2,16,Nick HeidfeldHEI,Sauber Petronas,48,14:05:05,22.457,44.880
2,2,Rubens BarrichelloBAR,Ferrari,50,14:06:43,22.214,45.088
1,19,Pedro de la RosaDLR,Jaguar Cosworth,50,14:08:10,28.429,28.429
1,18,Eddie IrvineIRV,Jaguar Cosworth,52,14:10:11,22.560,22.560
