Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,15,Enrique BernoldiBER,Arrows Asiatech,1,14:04:23,35.653,35.653
1,4,David CoulthardCOU,McLaren Mercedes,1,14:04:32,38.373,38.373
1,21,Fernando AlonsoALO,Minardi European,16,14:25:57,33.030,33.030
1,8,Jenson ButtonBUT,Benetton Renault,17,14:27:49,44.060,44.060
1,20,Tarso MarquesMAR,Minardi European,18,14:29:07,33.593,33.593
1,14,Jos VerstappenVER,Arrows Asiatech,19,14:29:46,32.580,32.580
1,12,Jarno TrulliTRU,Jordan Honda,21,14:32:09,31.928,31.928
1,6,Juan Pablo MontoyaMOY,Williams BMW,21,14:32:09,30.231,30.231
1,1,Michael SchumacherMSC,Ferrari,23,14:34:27,30.745,30.745
1,10,Jacques VilleneuveVIL,BAR Honda,23,14:34:57,31.350,31.350
1,17,Kimi RäikkönenRAI,Sauber Petronas,23,14:35:12,30.892,30.892
1,22,Jean AlesiALE,Prost Acer,23,14:35:25,33.048,33.048
1,7,Giancarlo FisichellaFIS,Benetton Renault,23,14:36:00,37.655,37.655
1,16,Nick HeidfeldHEI,Sauber Petronas,24,14:36:30,29.561,29.561
1,18,Eddie IrvineIRV,Jaguar Cosworth,24,14:36:32,32.352,32.352
1,9,Olivier PanisPAN,BAR Honda,24,14:36:33,43.931,43.931
1,23,Luciano BurtiBUR,Prost Acer,24,14:36:55,32.304,32.304
1,2,Rubens BarrichelloBAR,Ferrari,25,14:37:22,30.957,30.957
1,3,Mika HakkinenHAK,McLaren Mercedes,27,14:39:57,31.157,31.157
2,4,David CoulthardCOU,McLaren Mercedes,28,14:42:31,30.748,1:09.121
2,17,Kimi RäikkönenRAI,Sauber Petronas,38,14:56:37,32.454,1:03.346
2,16,Nick HeidfeldHEI,Sauber Petronas,39,14:57:45,32.204,1:01.765
2,14,Jos VerstappenVER,Arrows Asiatech,39,14:58:53,33.259,1:05.839
2,12,Jarno TrulliTRU,Jordan Honda,40,14:59:06,32.143,1:04.071
2,21,Fernando AlonsoALO,Minardi European,39,14:59:16,32.901,1:05.931
2,6,Juan Pablo MontoyaMOY,Williams BMW,41,15:00:22,32.362,1:02.593
2,10,Jacques VilleneuveVIL,BAR Honda,41,15:00:27,31.844,1:03.194
2,7,Giancarlo FisichellaFIS,Benetton Renault,40,15:01:09,31.631,1:09.286
2,1,Michael SchumacherMSC,Ferrari,43,15:02:18,31.194,1:01.939
2,20,Tarso MarquesMAR,Minardi European,41,15:03:12,33.061,1:06.654
2,8,Jenson ButtonBUT,Benetton Renault,41,15:03:23,38.215,1:22.275
2,9,Olivier PanisPAN,BAR Honda,43,15:03:33,31.275,1:15.206
2,2,Rubens BarrichelloBAR,Ferrari,44,15:04:04,31.764,1:02.721
3,4,David CoulthardCOU,McLaren Mercedes,44,15:05:03,30.185,1:39.306
2,18,Eddie IrvineIRV,Jaguar Cosworth,45,15:06:17,31.366,1:03.718
2,23,Luciano BurtiBUR,Prost Acer,47,15:10:12,31.174,1:03.478
3,2,Rubens BarrichelloBAR,Ferrari,48,15:10:16,29.205,1:31.926
2,3,Mika HakkinenHAK,McLaren Mercedes,50,15:11:56,30.433,1:01.590
2,22,Jean AlesiALE,Prost Acer,50,15:14:16,29.695,1:02.743
