Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:14.960,8
2,5,Ralf SchumacherRSC,Williams BMW,1:15.226,12
3,6,Juan Pablo MontoyaMOY,Williams BMW,1:15.490,11
4,2,Rubens BarrichelloBAR,Ferrari,1:15.622,11
5,4,David CoulthardCOU,McLaren Mercedes,1:15.717,12
6,3,Mika HakkinenHAK,McLaren Mercedes,1:15.776,12
7,12,Jarno TrulliTRU,Jordan Honda,1:16.138,10
8,11,Heinz-Harald FrentzenFRE,Jordan Honda,1:16.376,11
9,17,Kimi RäikkönenRAI,Sauber Petronas,1:16.402,11
10,16,Nick HeidfeldHEI,Sauber Petronas,1:16.438,11
11,10,Jacques VilleneuveVIL,BAR Honda,1:16.439,12
12,18,Eddie IrvineIRV,Jaguar Cosworth,1:16.588,11
13,9,Olivier PanisPAN,BAR Honda,1:16.872,11
14,22,Jean AlesiALE,Prost Acer,1:17.251,11
15,7,Giancarlo FisichellaFIS,Benetton Renault,1:17.378,11
16,19,Pedro de la RosaDLR,Jaguar Cosworth,1:17.627,12
17,23,Luciano BurtiBUR,Prost Acer,1:18.113,11
18,15,Enrique BernoldiBER,Arrows Asiatech,1:18.151,12
19,14,Jos VerstappenVER,Arrows Asiatech,1:18.262,11
20,8,Jenson ButtonBUT,Benetton Renault,1:18.626,11
21,21,Fernando AlonsoALO,Minardi European,1:18.630,11
22,20,Tarso MarquesMAR,Minardi European,1:18.689,12
