Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,9,Giancarlo FisichellaFIS,Jordan Honda,1,14:05:23,35.979,35.979
1,10,Takuma SatoSAT,Jordan Honda,1,14:05:27,1:23.550,1:23.550
1,22,Alex YoongYOO,Minardi Asiatech,7,14:15:06,22.553,22.553
1,23,Mark WebberWEB,Minardi Asiatech,19,14:34:58,34.462,34.462
1,11,Jacques VilleneuveVIL,BAR Honda,20,14:35:51,35.393,35.393
1,14,Jarno TrulliTRU,Renault,21,14:37:01,33.722,33.722
1,25,Allan McNishMCN,Toyota,21,14:37:18,38.646,38.646
1,15,Jenson ButtonBUT,Renault,22,14:38:30,33.057,33.057
2,9,Giancarlo FisichellaFIS,Jordan Honda,21,14:38:53,33.170,1:09.149
1,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,22,14:39:06,48.500,48.500
1,21,Enrique BernoldiBER,Arrows Cosworth,23,14:40:43,34.517,34.517
1,1,Michael SchumacherMSC,Ferrari,24,14:41:08,32.665,32.665
1,24,Mika SaloSAL,Toyota,23,14:41:15,41.573,41.573
1,2,Rubens BarrichelloBAR,Ferrari,25,14:42:31,32.818,32.818
1,12,Olivier PanisPAN,BAR Honda,29,14:50:07,38.326,38.326
1,5,Ralf SchumacherRSC,Williams BMW,30,14:51:19,35.719,35.719
1,7,Nick HeidfeldHEI,Sauber Petronas,30,14:51:33,35.785,35.785
1,8,Felipe MassaMAS,Sauber Petronas,31,14:53:08,36.497,36.497
2,22,Alex YoongYOO,Minardi Asiatech,31,14:54:54,52.885,1:15.438
1,16,Eddie IrvineIRV,Jaguar Cosworth,32,14:55:51,48.976,48.976
1,17,Pedro de la RosaDLR,Jaguar Cosworth,33,14:57:02,36.520,36.520
1,4,Kimi RäikkönenRAI,McLaren Mercedes,35,14:59:12,35.983,35.983
2,10,Takuma SatoSAT,Jordan Honda,36,15:03:50,35.618,1:59.168
2,25,Allan McNishMCN,Toyota,39,15:06:57,34.072,1:12.718
2,24,Mika SaloSAL,Toyota,41,15:10:45,33.089,1:14.662
2,14,Jarno TrulliTRU,Renault,42,15:11:02,32.015,1:05.737
2,23,Mark WebberWEB,Minardi Asiatech,41,15:11:06,45.085,1:19.547
2,1,Michael SchumacherMSC,Ferrari,43,15:11:09,31.690,1:04.355
2,21,Enrique BernoldiBER,Arrows Cosworth,42,15:11:48,33.355,1:07.872
2,15,Jenson ButtonBUT,Renault,44,15:13:57,31.930,1:04.987
2,2,Rubens BarrichelloBAR,Ferrari,45,15:14:13,31.580,1:04.398
2,11,Jacques VilleneuveVIL,BAR Honda,44,15:15:04,32.452,1:07.845
2,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,44,15:15:05,34.526,1:23.026
