Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:43.726,9
2,4,Kimi RäikkönenRAI,McLaren Mercedes,1:44.150,12
3,2,Rubens BarrichelloBAR,Ferrari,1:44.335,12
4,5,Ralf SchumacherRSC,Williams BMW,1:44.348,12
5,6,Juan Pablo MontoyaMOY,Williams BMW,1:44.634,12
6,3,David CoulthardCOU,McLaren Mercedes,1:44.759,12
7,14,Jarno TrulliTRU,Renault,1:45.386,11
8,16,Eddie IrvineIRV,Jaguar Cosworth,1:45.865,12
9,24,Mika SaloSAL,Toyota,1:45.880,12
10,15,Jenson ButtonBUT,Renault,1:45.972,12
11,17,Pedro de la RosaDLR,Jaguar Cosworth,1:46.056,10
12,11,Jacques VilleneuveVIL,BAR Honda,1:46.403,11
13,25,Allan McNishMCN,Toyota,1:46.485,12
14,9,Giancarlo FisichellaFIS,Jordan Honda,1:46.508,11
15,12,Olivier PanisPAN,BAR Honda,1:46.553,10
16,10,Takuma SatoSAT,Jordan Honda,1:46.875,12
17,8,Felipe MassaMAS,Sauber Petronas,1:46.896,12
18,7,Nick HeidfeldHEI,Sauber Petronas,1:47.272,10
19,23,Mark WebberWEB,Minardi Asiatech,1:47.562,12
20,22,Anthony DavidsonDAV,Minardi Asiatech,1:48.170,11
