Pos,No,Driver,Car,Time,Laps
1,6,Juan Pablo MontoyaMOY,Williams BMW,1:13.114,12
2,1,Michael SchumacherMSC,Ferrari,1:13.241,9
3,5,Ralf SchumacherRSC,Williams BMW,1:13.328,12
4,3,David CoulthardCOU,McLaren Mercedes,1:13.565,12
5,4,Kimi RäikkönenRAI,McLaren Mercedes,1:13.595,11
6,14,Jarno TrulliTRU,Renault,1:13.611,11
7,15,Jenson ButtonBUT,Renault,1:13.665,12
8,2,Rubens BarrichelloBAR,Ferrari,1:13.935,9
9,7,Nick HeidfeldHEI,Sauber Petronas,1:14.233,12
10,24,Mika SaloSAL,Toyota,1:14.443,12
11,17,Pedro de la RosaDLR,Jaguar Cosworth,1:14.464,12
12,8,Felipe MassaMAS,Sauber Petronas,1:14.533,12
13,16,Eddie IrvineIRV,Jaguar Cosworth,1:14.537,10
14,9,Giancarlo FisichellaFIS,Jordan Honda,1:14.748,12
15,11,Jacques VilleneuveVIL,BAR Honda,1:14.760,12
16,25,Allan McNishMCN,Toyota,1:14.990,12
17,12,Olivier PanisPAN,BAR Honda,1:14.996,11
18,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:15.112,12
19,10,Takuma SatoSAT,Jordan Honda,1:15.296,10
20,23,Mark WebberWEB,Minardi Asiatech,1:15.340,12
21,21,Enrique BernoldiBER,Arrows Cosworth,1:15.355,12
22,22,Alex YoongYOO,Minardi Asiatech,1:16.728,12
