Pos,No,Driver,Car,Laps,Time/retired,Pts
1,2,Rubens BarrichelloBAR,Ferrari,60,1:35:07.426,10
2,1,Michael SchumacherMSC,Ferrari,60,+0.294s,6
3,4,Kimi RäikkönenRAI,McLaren Mercedes,60,+46.435s,4
4,5,Ralf SchumacherRSC,Williams BMW,60,+66.963s,3
5,15,Jenson ButtonBUT,Renault,60,+76.943s,2
6,8,Felipe MassaMAS,Sauber Petronas,59,+1 lap,1
7,7,Nick HeidfeldHEI,Sauber Petronas,59,+1 lap,0
8,14,Jarno TrulliTRU,Renault,59,+1 lap,0
9,12,Olivier PanisPAN,BAR Honda,59,+1 lap,0
10,21,Enrique BernoldiBER,Arrows Cosworth,59,+1 lap,0
11,17,Pedro de la RosaDLR,Jaguar Cosworth,59,+1 lap,0
12,11,Jacques VilleneuveVIL,BAR Honda,59,+1 lap,0
13,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,59,+1 lap,0
14,25,Allan McNishMCN,Toyota,59,+1 lap,0
15,23,Mark WebberWEB,Minardi Asiatech,58,+2 laps,0
16,10,Takuma SatoSAT,Jordan Honda,58,+2 laps,0
NC,24,Mika SaloSAL,Toyota,51,DNF,0
NC,22,Alex YoongYOO,Minardi Asiatech,48,DNF,0
NC,16,Eddie IrvineIRV,Jaguar Cosworth,41,DNF,0
NC,6,Juan Pablo MontoyaMOY,Williams BMW,27,DNF,0
NC,3,David CoulthardCOU,McLaren Mercedes,27,DNF,0
NC,9,Giancarlo FisichellaFIS,Jordan Honda,26,DNF,0
