Pos,No,Driver,Car,Time
1,1,Michael SchumacherMSC,Ferrari,1:21.091
2,2,Rubens BarrichelloBAR,Ferrari,1:21.155
3,5,Ralf SchumacherRSC,Williams BMW,1:21.473
4,6,Juan Pablo MontoyaMOY,Williams BMW,1:21.605
5,4,Kimi RäikkönenRAI,McLaren Mercedes,1:22.104
6,3,David CoulthardCOU,McLaren Mercedes,1:22.490
7,7,Nick HeidfeldHEI,Sauber Petronas,1:22.767
8,14,Jarno TrulliTRU,Renault,1:22.833
9,15,Jenson ButtonBUT,Renault,1:22.857
10,11,Jacques VilleneuveVIL,BAR Honda,1:23.116
11,8,Felipe MassaMAS,Sauber Petronas,1:23.681
12,12,Olivier PanisPAN,BAR Honda,1:23.821
13,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:23.862
14,10,Takuma SatoSAT,Jordan Honda,1:24.050
15,9,Giancarlo FisichellaFIS,Jordan Honda,1:24.253
16,24,Mika SaloSAL,Toyota,1:24.328
17,25,Allan McNishMCN,Toyota,1:24.331
18,16,Eddie IrvineIRV,Jaguar Cosworth,1:24.579
19,23,Mark WebberWEB,Minardi Asiatech,1:24.790
20,21,Enrique BernoldiBER,Arrows Cosworth,1:24.808
21,17,Pedro de la RosaDLR,Jaguar Cosworth,1:24.852
