Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,14,1:21.832,254.848
2,6,Kimi RäikkönenRAI,McLaren Mercedes,32,1:22.032,254.227
3,3,Juan Pablo MontoyaMOY,Williams BMW,31,1:22.126,253.936
4,2,Rubens BarrichelloBAR,Ferrari,13,1:22.171,253.797
5,4,Marc GeneGEN,Williams BMW,12,1:22.413,253.052
6,5,David CoulthardCOU,McLaren Mercedes,10,1:22.427,253.009
7,16,Jacques VilleneuveVIL,BAR Honda,13,1:23.039,251.144
8,8,Fernando AlonsoALO,Renault,47,1:23.195,250.673
9,17,Jenson ButtonBUT,BAR Honda,13,1:23.225,250.583
10,20,Olivier PanisPAN,Toyota,10,1:23.303,250.348
11,10,Heinz-Harald FrentzenFRE,Sauber Petronas,14,1:23.518,249.704
12,14,Mark WebberWEB,Jaguar Cosworth,10,1:23.778,248.929
13,9,Nick HeidfeldHEI,Sauber Petronas,9,1:24.225,247.608
14,11,Giancarlo FisichellaFIS,Jordan Ford,52,1:25.133,244.967
15,12,Zsolt BaumgartnerBAU,Jordan Ford,38,1:25.549,243.776
16,19,Jos VerstappenVER,Minardi Cosworth,22,1:25.816,243.017
17,18,Nicolas KiesaKIE,Minardi Cosworth,49,1:26.127,242.140
18,21,Cristiano da MattaDAM,Toyota,3,1:26.148,242.081
19,15,Justin WilsonWIL,Jaguar Cosworth,2,1:59.265,174.861
