Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,3,Juan Pablo MontoyaMOY,Williams BMW,1,15:05:54,4:06.282,4:06.282
1,15,Antonio PizzoniaPIZ,Jaguar Cosworth,1,15:06:02,54.484,54.484
1,19,Jos VerstappenVER,Minardi Cosworth,1,15:06:06,2:46.858,2:46.858
1,1,Michael SchumacherMSC,Ferrari,3,15:09:10,37.480,37.480
2,1,Michael SchumacherMSC,Ferrari,9,15:19:36,24.113,1:01.593
1,20,Olivier PanisPAN,Toyota,12,15:23:52,34.161,34.161
2,19,Jos VerstappenVER,Minardi Cosworth,10,15:23:57,37.912,3:24.770
1,9,Nick HeidfeldHEI,Sauber Petronas,13,15:25:30,50.283,50.283
1,18,Justin WilsonWIL,Minardi Cosworth,13,15:25:53,50.327,50.327
1,8,Fernando AlonsoALO,Renault,14,15:26:43,36.520,36.520
1,14,Mark WebberWEB,Jaguar Cosworth,15,15:29:00,1:07.590,1:07.590
1,7,Jarno TrulliTRU,Renault,16,15:30:35,35.894,35.894
1,17,Jenson ButtonBUT,BAR Honda,17,15:32:11,35.888,35.888
1,21,Cristiano da MattaDAM,Toyota,17,15:32:43,37.502,37.502
1,10,Heinz-Harald FrentzenFRE,Sauber Petronas,17,15:32:44,46.067,46.067
1,6,Kimi RäikkönenRAI,McLaren Mercedes,19,15:34:53,37.350,37.350
2,15,Antonio PizzoniaPIZ,Jaguar Cosworth,19,15:36:53,37.044,1:31.528
1,2,Rubens BarrichelloBAR,Ferrari,22,15:39:59,35.338,35.338
1,4,Ralf SchumacherRSC,Williams BMW,22,15:40:25,35.099,35.099
1,12,Ralph FirmanFIR,Jordan Ford,22,15:41:03,55.468,55.468
3,1,Michael SchumacherMSC,Ferrari,26,15:48:03,34.705,1:36.298
2,3,Juan Pablo MontoyaMOY,Williams BMW,28,15:54:36,38.546,4:44.828
2,21,Cristiano da MattaDAM,Toyota,33,15:59:57,42.491,1:19.993
3,19,Jos VerstappenVER,Minardi Cosworth,31,16:00:19,39.098,4:03.868
2,17,Jenson ButtonBUT,BAR Honda,34,16:00:47,38.422,1:14.310
2,9,Nick HeidfeldHEI,Sauber Petronas,34,16:01:17,35.669,1:25.952
2,8,Fernando AlonsoALO,Renault,35,16:01:46,36.418,1:12.938
2,10,Heinz-Harald FrentzenFRE,Sauber Petronas,35,16:03:34,35.623,1:21.690
2,18,Justin WilsonWIL,Minardi Cosworth,35,16:04:02,39.556,1:29.883
2,7,Jarno TrulliTRU,Renault,36,16:04:04,50.029,1:25.923
2,2,Rubens BarrichelloBAR,Ferrari,38,16:06:38,34.879,1:10.217
3,15,Antonio PizzoniaPIZ,Jaguar Cosworth,38,16:09:26,37.199,2:08.727
2,6,Kimi RäikkönenRAI,McLaren Mercedes,40,16:09:32,35.234,1:12.584
2,4,Ralf SchumacherRSC,Williams BMW,40,16:10:42,34.311,1:09.410
4,1,Michael SchumacherMSC,Ferrari,43,16:16:18,35.171,2:11.469
3,21,Cristiano da MattaDAM,Toyota,48,16:25:29,36.382,1:56.375
