Pos,No,Driver,Car,Time,Gap,Laps
1,15,Antonio PizzoniaPIZ,Jaguar Cosworth,1:16.621,,11
2,3,Juan Pablo MontoyaMOY,Williams BMW,1:17.216,+0.595s,16
3,1,Michael SchumacherMSC,Ferrari,1:17.228,+0.607s,17
4,14,Mark WebberWEB,Jaguar Cosworth,1:17.344,+0.723s,13
5,20,Olivier PanisPAN,Toyota,1:17.464,+0.843s,16
6,4,Ralf SchumacherRSC,Williams BMW,1:17.894,+1.273s,21
7,12,Ralph FirmanFIR,Jordan Ford,1:17.973,+1.352s,12
8,6,Kimi RäikkönenRAI,McLaren Mercedes,1:18.155,+1.534s,16
9,5,David CoulthardCOU,McLaren Mercedes,1:18.165,+1.544s,16
10,2,Rubens BarrichelloBAR,Ferrari,1:18.240,+1.619s,24
11,21,Cristiano da MattaDAM,Toyota,1:18.559,+1.938s,23
12,18,Justin WilsonWIL,Minardi Cosworth,1:18.586,+1.965s,16
13,16,Jacques VilleneuveVIL,BAR Honda,1:18.716,+2.095s,19
14,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:19.765,+3.144s,21
15,9,Nick HeidfeldHEI,Sauber Petronas,1:23.061,+6.440s,17
16,19,Jos VerstappenVER,Minardi Cosworth,1:24.571,+7.950s,15
17,11,Giancarlo FisichellaFIS,Jordan Ford,1:28.141,+11.520s,11
18,17,Jenson ButtonBUT,BAR Honda,1:28.872,+12.251s,14
19,8,Fernando AlonsoALO,Renault,1:31.658,+15.037s,8
20,7,Jarno TrulliTRU,Renault,1:32.552,+15.931s,8
