Pos,No,Driver,Car,Laps,Time/retired,Pts
1,3,Juan Pablo MontoyaMOY,Williams BMW,78,1:42:19.010,10
2,6,Kimi RäikkönenRAI,McLaren Mercedes,78,+0.602s,8
3,1,Michael SchumacherMSC,Ferrari,78,+1.720s,6
4,4,Ralf SchumacherRSC,Williams BMW,78,+28.518s,5
5,8,Fernando AlonsoALO,Renault,78,+36.251s,4
6,7,Jarno TrulliTRU,Renault,78,+40.972s,3
7,5,David CoulthardCOU,McLaren Mercedes,78,+41.227s,2
8,2,Rubens BarrichelloBAR,Ferrari,78,+53.266s,1
9,21,Cristiano da MattaDAM,Toyota,77,+1 lap,0
10,11,Giancarlo FisichellaFIS,Jordan Ford,77,+1 lap,0
11,9,Nick HeidfeldHEI,Sauber Petronas,76,+2 laps,0
12,12,Ralph FirmanFIR,Jordan Ford,76,+2 laps,0
13,20,Olivier PanisPAN,Toyota,74,+4 laps,0
NC,16,Jacques VilleneuveVIL,BAR Honda,63,DNF,0
NC,18,Justin WilsonWIL,Minardi Cosworth,29,DNF,0
NC,19,Jos VerstappenVER,Minardi Cosworth,28,DNF,0
NC,14,Mark WebberWEB,Jaguar Cosworth,16,DNF,0
NC,15,Antonio PizzoniaPIZ,Jaguar Cosworth,10,DNF,0
NC,10,Heinz-Harald FrentzenFRE,Sauber Petronas,0,DNF,0
