Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,29,1:19.071,199.461
2,2,Rubens BarrichelloBAR,Ferrari,29,1:19.213,199.103
3,8,Fernando AlonsoALO,Renault,49,1:20.275,196.469
4,9,Jenson ButtonBUT,BAR Honda,47,1:20.425,196.103
5,4,Antonio PizzoniaPIZ,Williams BMW,48,1:20.501,195.918
6,7,Jarno TrulliTRU,Renault,10,1:20.705,195.422
7,3,Juan Pablo MontoyaMOY,Williams BMW,49,1:20.715,195.398
8,14,Mark WebberWEB,Jaguar Cosworth,45,1:20.825,195.132
9,11,Giancarlo FisichellaFIS,Sauber Petronas,53,1:21.022,194.658
10,10,Takuma SatoSAT,BAR Honda,10,1:21.030,194.639
11,5,David CoulthardCOU,McLaren Mercedes,67,1:21.134,194.389
12,17,Olivier PanisPAN,Toyota,50,1:21.310,193.968
13,18,Nick HeidfeldHEI,Jordan Ford,68,1:21.518,193.473
14,6,Kimi RäikkönenRAI,McLaren Mercedes,6,1:21.678,193.094
15,12,Felipe MassaMAS,Sauber Petronas,14,1:21.856,192.674
16,16,Ricardo ZontaZON,Toyota,13,1:22.525,191.112
17,15,Christian KlienKLI,Jaguar Cosworth,45,1:22.530,191.101
18,19,Giorgio PantanoPAN,Jordan Ford,43,1:22.927,190.186
19,20,Gianmaria BruniBRU,Minardi Cosworth,65,1:24.601,186.423
20,21,Zsolt BaumgartnerBAU,Minardi Cosworth,63,1:24.855,185.865
