Pos,No,Driver,Car,Time,Gap,Laps
1,1,Michael SchumacherMSC,Ferrari,1:20.084,,11
2,2,Rubens BarrichelloBAR,Ferrari,1:21.443,+1.359s,12
3,4,Ralf SchumacherRSC,Williams BMW,1:22.250,+2.166s,13
4,35,Anthony DavidsonDAV,BAR Honda,1:22.398,+2.314s,20
5,9,Jenson ButtonBUT,BAR Honda,1:22.448,+2.364s,10
6,3,Juan Pablo MontoyaMOY,Williams BMW,1:22.796,+2.712s,11
7,7,Jarno TrulliTRU,Renault,1:22.927,+2.843s,11
8,6,Kimi RäikkönenRAI,McLaren Mercedes,1:23.054,+2.970s,4
9,8,Fernando AlonsoALO,Renault,1:23.083,+2.999s,13
10,38,Ricardo ZontaZON,Toyota,1:23.161,+3.077s,20
11,5,David CoulthardCOU,McLaren Mercedes,1:23.197,+3.113s,8
12,14,Mark WebberWEB,Jaguar Cosworth,1:23.417,+3.333s,11
13,11,Giancarlo FisichellaFIS,Sauber Petronas,1:23.528,+3.444s,9
14,12,Felipe MassaMAS,Sauber Petronas,1:23.562,+3.478s,13
15,17,Olivier PanisPAN,Toyota,1:23.790,+3.706s,13
16,10,Takuma SatoSAT,BAR Honda,1:24.061,+3.977s,11
17,37,Bjorn WirdheimWIR,Jaguar Cosworth,1:24.152,+4.068s,29
18,16,Cristiano da MattaDAM,Toyota,1:24.752,+4.668s,12
19,18,Nick HeidfeldHEI,Jordan Ford,1:24.955,+4.871s,12
20,19,Giorgio PantanoPAN,Jordan Ford,1:25.375,+5.291s,12
21,15,Christian KlienKLI,Jaguar Cosworth,1:25.679,+5.595s,9
22,39,Timo GlockGLO,Jordan Ford,1:26.254,+6.170s,14
23,20,Gianmaria BruniBRU,Minardi Cosworth,1:27.933,+7.849s,14
24,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:29.312,+9.228s,14
25,40,Bas LeindersLEI,Minardi Cosworth,1:29.414,+9.330s,19
