Pos,No,Driver,Car,Time,Gap,Laps
1,9,Jenson ButtonBUT,BAR Honda,1:11.466,,9
2,10,Takuma SatoSAT,BAR Honda,1:11.580,+0.114s,11
3,6,Kimi RäikkönenRAI,McLaren Mercedes,1:11.591,+0.125s,7
4,2,Rubens BarrichelloBAR,Ferrari,1:11.641,+0.175s,6
5,4,Ralf SchumacherRSC,Williams BMW,1:11.714,+0.248s,8
6,1,Michael SchumacherMSC,Ferrari,1:11.740,+0.274s,9
7,11,Giancarlo FisichellaFIS,Sauber Petronas,1:11.985,+0.519s,6
8,12,Felipe MassaMAS,Sauber Petronas,1:12.064,+0.598s,5
9,5,David CoulthardCOU,McLaren Mercedes,1:12.085,+0.619s,7
10,3,Juan Pablo MontoyaMOY,Williams BMW,1:12.208,+0.742s,7
11,16,Jarno TrulliTRU,Toyota,1:12.263,+0.797s,5
12,14,Mark WebberWEB,Jaguar Cosworth,1:12.356,+0.890s,8
13,8,Fernando AlonsoALO,Renault,1:12.563,+1.097s,8
14,15,Christian KlienKLI,Jaguar Cosworth,1:12.612,+1.146s,8
15,17,Ricardo ZontaZON,Toyota,1:13.025,+1.559s,10
16,18,Nick HeidfeldHEI,Jordan Ford,1:13.327,+1.861s,8
17,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:14.284,+2.818s,10
18,20,Gianmaria BruniBRU,Minardi Cosworth,1:14.336,+2.870s,11
19,19,Timo GlockGLO,Jordan Ford,1:14.805,+3.339s,11
20,7,Jacques VilleneuveVIL,Renault,,,2
