Pos,No,Driver,Car,Time,Laps
1,6,Kimi RäikkönenRAI,McLaren Mercedes,1:18.233,6
2,2,Rubens BarrichelloBAR,Ferrari,1:18.305,6
3,9,Jenson ButtonBUT,BAR Honda,1:18.580,6
4,1,Michael SchumacherMSC,Ferrari,1:18.710,6
5,7,Jarno TrulliTRU,Renault,1:18.715,6
6,8,Fernando AlonsoALO,Renault,1:18.811,6
7,5,David CoulthardCOU,McLaren Mercedes,1:19.148,6
8,3,Juan Pablo MontoyaMOY,Williams BMW,1:19.378,6
9,10,Takuma SatoSAT,BAR Honda,1:19.688,6
10,14,Mark WebberWEB,Jaguar Cosworth,1:20.004,6
11,12,Felipe MassaMAS,Sauber Petronas,1:20.202,6
12,4,Marc GeneGEN,Williams BMW,1:20.335,6
13,16,Cristiano da MattaDAM,Toyota,1:20.545,6
14,15,Christian KlienKLI,Jaguar Cosworth,1:21.559,6
15,19,Giorgio PantanoPAN,Jordan Ford,1:22.458,6
16,18,Nick HeidfeldHEI,Jordan Ford,1:22.677,5
17,20,Gianmaria BruniBRU,Minardi Cosworth,1:23.437,6
18,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:24.117,6
19,17,Olivier PanisPAN,Toyota,1:19.697,6
20,11,Giancarlo FisichellaFIS,Sauber Petronas,,2
