Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Michael SchumacherMSC,Ferrari,53,1:24:26.985,10
2,4,Ralf SchumacherRSC,Williams BMW,53,+14.098s,8
3,9,Jenson ButtonBUT,BAR Honda,53,+19.662s,6
4,10,Takuma SatoSAT,BAR Honda,53,+31.781s,5
5,8,Fernando AlonsoALO,Renault,53,+37.767s,4
6,6,Kimi RäikkönenRAI,McLaren Mercedes,53,+39.362s,3
7,3,Juan Pablo MontoyaMOY,Williams BMW,53,+55.347s,2
8,11,Giancarlo FisichellaFIS,Sauber Petronas,53,+56.276s,1
9,12,Felipe MassaMAS,Sauber Petronas,53,+89.656s,0
10,7,Jacques VilleneuveVIL,Renault,52,+1 lap,0
11,16,Jarno TrulliTRU,Toyota,52,+1 lap,0
12,15,Christian KlienKLI,Jaguar Cosworth,52,+1 lap,0
13,18,Nick HeidfeldHEI,Jordan Ford,52,+1 lap,0
14,17,Olivier PanisPAN,Toyota,51,+2 laps,0
15,19,Timo GlockGLO,Jordan Ford,51,+2 laps,0
16,20,Gianmaria BruniBRU,Minardi Cosworth,50,+3 laps,0
NC,21,Zsolt BaumgartnerBAU,Minardi Cosworth,41,DNF,0
NC,5,David CoulthardCOU,McLaren Mercedes,38,DNF,0
NC,2,Rubens BarrichelloBAR,Ferrari,38,DNF,0
NC,14,Mark WebberWEB,Jaguar Cosworth,20,DNF,0
