Pos,No,Driver,Car,Lap,Time,Avg speed
1,9,Kimi RäikkönenRAI,McLaren Mercedes,24,1:14.873,219.924
2,5,Fernando AlonsoALO,Renault,21,1:15.235,218.866
3,3,Jenson ButtonBUT,BAR Honda,19,1:15.843,217.111
4,10,Juan Pablo MontoyaMOY,McLaren Mercedes,54,1:15.878,217.011
5,6,Giancarlo FisichellaFIS,Renault,21,1:15.890,216.977
6,17,Ralf SchumacherRSC,Toyota,23,1:16.073,216.455
7,1,Michael SchumacherMSC,Ferrari,18,1:16.099,216.381
8,14,David CoulthardCOU,RBR Cosworth,18,1:16.233,216.000
9,15,Christian KlienKLI,RBR Cosworth,45,1:16.236,215.992
10,12,Felipe MassaMAS,Sauber Petronas,45,1:16.288,215.845
11,16,Jarno TrulliTRU,Toyota,45,1:16.474,215.320
12,2,Rubens BarrichelloBAR,Ferrari,47,1:16.528,215.168
13,8,Nick HeidfeldHEI,Williams BMW,10,1:16.607,214.946
14,4,Takuma SatoSAT,BAR Honda,27,1:16.725,214.615
15,7,Mark WebberWEB,Williams BMW,46,1:16.803,214.397
16,11,Jacques VilleneuveVIL,Sauber Petronas,26,1:17.122,213.511
17,18,Tiago MonteiroMON,Jordan Toyota,12,1:18.106,210.821
18,19,Narain KarthikeyanKAR,Jordan Toyota,7,1:18.212,210.535
19,21,Christijan AlbersALB,Minardi Cosworth,11,1:18.425,209.963
20,20,Robert DoornbosDOO,Minardi Cosworth,44,1:19.025,208.369
