Pos,No,Driver,Car,Lap,Time,Avg speed
1,17,Ralf SchumacherRSC,Toyota,43,1:51.453,225.329
2,7,Mark WebberWEB,Williams BMW,44,1:52.287,223.655
3,15,Christian KlienKLI,RBR Cosworth,43,1:52.582,223.069
4,2,Rubens BarrichelloBAR,Ferrari,44,1:52.590,223.053
5,3,Jenson ButtonBUT,BAR Honda,44,1:53.323,221.610
6,9,Kimi RäikkönenRAI,McLaren Mercedes,34,1:53.810,220.662
7,11,Jacques VilleneuveVIL,Sauber Petronas,44,1:54.251,219.810
8,19,Narain KarthikeyanKAR,Jordan Toyota,43,1:55.885,216.711
9,10,Juan Pablo MontoyaMOY,McLaren Mercedes,14,1:55.988,216.518
10,5,Fernando AlonsoALO,Renault,31,1:56.131,216.252
11,16,Jarno TrulliTRU,Toyota,3,1:56.953,214.732
12,6,Giancarlo FisichellaFIS,Renault,9,1:57.117,214.431
13,1,Michael SchumacherMSC,Ferrari,10,1:57.444,213.834
14,4,Takuma SatoSAT,BAR Honda,10,1:57.534,213.670
15,8,Antonio PizzoniaPIZ,Williams BMW,32,1:57.541,213.658
16,12,Felipe MassaMAS,Sauber Petronas,28,1:57.748,213.282
17,18,Tiago MonteiroMON,Jordan Toyota,41,1:57.886,213.032
18,14,David CoulthardCOU,RBR Cosworth,8,1:58.451,212.016
19,20,Robert DoornbosDOO,Minardi Cosworth,38,2:01.148,207.296
20,21,Christijan AlbersALB,Minardi Cosworth,6,2:01.627,206.480
