Pos,No,Driver,Car,Lap,Time,Avg speed
1,10,Pedro de la RosaDLR,McLaren Mercedes,43,1:31.447,213.054
2,5,Fernando AlonsoALO,Renault,39,1:31.713,212.436
3,9,Kimi RäikkönenRAI,McLaren Mercedes,41,1:31.822,212.184
4,16,Jarno TrulliTRU,Toyota,41,1:32.324,211.030
5,3,Jenson ButtonBUT,BAR Honda,45,1:32.411,210.832
6,17,Ralf SchumacherRSC,Toyota,36,1:32.683,210.213
7,1,Michael SchumacherMSC,Ferrari,7,1:32.886,209.753
8,2,Rubens BarrichelloBAR,Ferrari,23,1:32.976,209.550
9,8,Nick HeidfeldHEI,Williams BMW,19,1:33.055,209.372
10,7,Mark WebberWEB,Williams BMW,20,1:33.087,209.300
11,4,Takuma SatoSAT,BAR Honda,23,1:33.124,209.217
12,12,Felipe MassaMAS,Sauber Petronas,40,1:33.326,208.764
13,14,David CoulthardCOU,RBR Cosworth,42,1:33.417,208.561
14,11,Jacques VilleneuveVIL,Sauber Petronas,24,1:33.458,208.470
15,18,Tiago MonteiroMON,Jordan Toyota,18,1:35.744,203.492
16,20,Patrick Friesacher FRI,Minardi Cosworth,16,1:36.432,202.040
17,21,Christijan AlbersALB,Minardi Cosworth,3,1:36.913,201.038
18,6,Giancarlo FisichellaFIS,Renault,2,1:37.036,200.783
19,19,Narain KarthikeyanKAR,Jordan Toyota,2,1:37.533,199.760
