Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,48,1:21.858,216.946
2,3,Jenson ButtonBUT,BAR Honda,22,1:22.604,214.987
3,10,Alexander WurzWUR,McLaren Mercedes,24,1:23.023,213.902
4,5,Fernando AlonsoALO,Renault,22,1:23.133,213.619
5,9,Kimi RäikkönenRAI,McLaren Mercedes,8,1:23.296,213.201
6,4,Takuma SatoSAT,BAR Honda,23,1:23.368,213.016
7,15,Vitantonio LiuzziLIU,RBR Cosworth,46,1:23.488,212.710
8,12,Felipe MassaMAS,Sauber Petronas,37,1:23.602,212.420
9,8,Nick HeidfeldHEI,Williams BMW,54,1:23.917,211.623
10,11,Jacques VilleneuveVIL,Sauber Petronas,45,1:24.017,211.371
11,16,Jarno TrulliTRU,Toyota,44,1:24.022,211.358
12,19,Narain KarthikeyanKAR,Jordan Toyota,20,1:24.094,211.177
13,17,Ralf SchumacherRSC,Toyota,19,1:24.230,210.836
14,7,Mark WebberWEB,Williams BMW,17,1:24.419,210.364
15,2,Rubens BarrichelloBAR,Ferrari,13,1:24.435,210.325
16,14,David CoulthardCOU,RBR Cosworth,22,1:24.641,209.813
17,18,Tiago MonteiroMON,Jordan Toyota,19,1:24.719,209.620
18,6,Giancarlo FisichellaFIS,Renault,4,1:25.665,207.305
19,21,Christijan AlbersALB,Minardi Cosworth,18,1:27.420,203.143
20,20,Patrick Friesacher FRI,Minardi Cosworth,5,1:28.334,201.041
