Pos,No,Driver,Car,Time,Gap,Laps
1,9,Kimi RäikkönenRAI,McLaren Mercedes,1:15.684,,10
2,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:15.753,+0.069s,5
3,5,Fernando AlonsoALO,Renault,1:16.477,+0.793s,14
4,15,Christian KlienKLI,RBR Cosworth,1:16.698,+1.014s,7
5,12,Felipe MassaMAS,Sauber Petronas,1:16.799,+1.115s,7
6,14,David CoulthardCOU,RBR Cosworth,1:16.926,+1.242s,16
7,7,Mark WebberWEB,Williams BMW,1:16.961,+1.277s,7
8,16,Jarno TrulliTRU,Toyota,1:17.053,+1.369s,7
9,6,Giancarlo FisichellaFIS,Renault,1:17.061,+1.377s,14
10,4,Takuma SatoSAT,BAR Honda,1:17.331,+1.647s,5
11,3,Jenson ButtonBUT,BAR Honda,1:17.397,+1.713s,8
12,11,Jacques VilleneuveVIL,Sauber Petronas,1:17.408,+1.724s,11
13,8,Nick HeidfeldHEI,Williams BMW,1:17.536,+1.852s,8
14,2,Rubens BarrichelloBAR,Ferrari,1:17.599,+1.915s,10
15,1,Michael SchumacherMSC,Ferrari,1:17.617,+1.933s,9
16,19,Narain KarthikeyanKAR,Jordan Toyota,1:18.102,+2.418s,12
17,21,Christijan AlbersALB,Minardi Cosworth,1:18.217,+2.533s,17
18,17,Ralf SchumacherRSC,Toyota,1:18.229,+2.545s,8
19,20,Robert DoornbosDOO,Minardi Cosworth,1:19.083,+3.399s,17
20,18,Tiago MonteiroMON,Jordan Toyota,1:19.103,+3.419s,14
