Pos,No,Driver,Car,Time,Gap,Laps
1,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:26.857,,8
2,3,Jenson ButtonBUT,BAR Honda,1:27.031,+0.174s,6
3,5,Fernando AlonsoALO,Renault,1:27.119,+0.262s,8
4,9,Kimi RäikkönenRAI,McLaren Mercedes,1:27.134,+0.277s,9
5,4,Takuma SatoSAT,BAR Honda,1:27.159,+0.302s,8
6,8,Nick HeidfeldHEI,Williams BMW,1:27.471,+0.614s,8
7,7,Mark WebberWEB,Williams BMW,1:27.633,+0.776s,8
8,6,Giancarlo FisichellaFIS,Renault,1:27.921,+1.064s,8
9,14,David CoulthardCOU,RBR Cosworth,1:27.953,+1.096s,9
10,12,Felipe MassaMAS,Sauber Petronas,1:28.018,+1.161s,9
11,17,Ralf SchumacherRSC,Toyota,1:28.049,+1.192s,9
12,15,Christian KlienKLI,RBR Cosworth,1:28.063,+1.206s,9
13,16,Jarno TrulliTRU,Toyota,1:28.468,+1.611s,6
14,1,Michael SchumacherMSC,Ferrari,1:28.487,+1.630s,14
15,11,Jacques VilleneuveVIL,Sauber Petronas,1:28.740,+1.883s,8
16,2,Rubens BarrichelloBAR,Ferrari,1:28.854,+1.997s,10
17,18,Tiago MonteiroMON,Jordan Toyota,1:30.216,+3.359s,10
18,21,Christijan AlbersALB,Minardi Cosworth,1:30.837,+3.980s,13
19,20,Robert DoornbosDOO,Minardi Cosworth,1:30.851,+3.994s,13
20,19,Narain KarthikeyanKAR,Jordan Toyota,,,1
