Pos,No,Driver,Car,Time,Laps
1,17,Ralf SchumacherRSC,Toyota,1:46.106,3
2,3,Jenson ButtonBUT,BAR Honda,1:46.141,3
3,6,Giancarlo FisichellaFIS,Renault,1:46.276,3
4,15,Christian KlienKLI,RBR Cosworth,1:46.464,3
5,4,Takuma SatoSAT,BAR Honda,1:46.841,3
6,14,David CoulthardCOU,RBR Cosworth,1:46.892,3
7,7,Mark WebberWEB,Williams BMW,1:47.233,3
8,11,Jacques VilleneuveVIL,Sauber Petronas,1:47.440,3
9,2,Rubens BarrichelloBAR,Ferrari,1:48.248,3
10,12,Felipe MassaMAS,Sauber Petronas,1:48.278,3
11,19,Narain KarthikeyanKAR,Jordan Toyota,1:48.718,3
12,8,Antonio PizzoniaPIZ,Williams BMW,1:48.898,3
13,21,Christijan AlbersALB,Minardi Cosworth,1:50.843,3
14,1,Michael SchumacherMSC,Ferrari,1:52.676,3
15,20,Robert DoornbosDOO,Minardi Cosworth,1:52.894,3
16,5,Fernando AlonsoALO,Renault,1:54.667,3
17,9,Kimi RäikkönenRAI,McLaren Mercedes,2:02.309,3
18,10,Juan Pablo MontoyaMOY,McLaren Mercedes,,2
19,16,Jarno TrulliTRU,Toyota,,2
20,18,Tiago MonteiroMON,Jordan Toyota,,1
