Pos,No,Driver,Car,Time
1,8,Nick HeidfeldHEI,Williams BMW,1:30.081
2,9,Kimi RäikkönenRAI,McLaren Mercedes,1:30.197
3,7,Mark WebberWEB,Williams BMW,1:30.368
4,16,Jarno TrulliTRU,Toyota,1:30.700
5,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:30.890
6,5,Fernando AlonsoALO,Renault,1:31.056
7,2,Rubens BarrichelloBAR,Ferrari,1:31.249
8,17,Ralf SchumacherRSC,Toyota,1:31.392
9,6,Giancarlo FisichellaFIS,Renault,1:31.566
10,1,Michael SchumacherMSC,Ferrari,1:31.585
11,12,Felipe MassaMAS,Sauber Petronas,1:32.205
12,14,David CoulthardCOU,RBR Cosworth,1:32.553
13,3,Jenson ButtonBUT,BAR Honda,1:32.594
14,15,Vitantonio LiuzziLIU,RBR Cosworth,1:32.642
15,11,Jacques VilleneuveVIL,Sauber Petronas,1:32.891
16,4,Takuma SatoSAT,BAR Honda,1:32.926
17,18,Tiago MonteiroMON,Jordan Toyota,1:35.047
18,20,Patrick Friesacher FRI,Minardi Cosworth,1:35.954
19,19,Narain KarthikeyanKAR,Jordan Toyota,1:36.192
20,21,Christijan AlbersALB,Minardi Cosworth,1:36.239
