Pos,No,Driver,Car,Lap,Time,Avg speed
1,5,Michael SchumacherMSC,Ferrari,70,1:12.162,214.966
2,6,Felipe MassaMAS,Ferrari,23,1:12.877,212.857
3,1,Fernando AlonsoALO,Renault,70,1:12.961,212.612
4,12,Jenson ButtonBUT,Honda,71,1:13.053,212.344
5,2,Giancarlo FisichellaFIS,Renault,70,1:13.121,212.146
6,3,Kimi RäikkönenRAI,McLaren Mercedes,58,1:13.281,211.683
7,23,Sakon YamamotoYAM,Super Aguri Honda,67,1:13.379,211.401
8,11,Rubens BarrichelloBAR,Honda,48,1:13.391,211.366
9,22,Takuma SatoSAT,Super Aguri Honda,47,1:13.401,211.337
10,20,Vitantonio LiuzziLIU,STR Cosworth,69,1:13.687,210.517
11,15,Robert DoornbosDOO,RBR Ferrari,62,1:13.700,210.480
12,4,Pedro de la RosaDLR,McLaren Mercedes,63,1:13.817,210.146
13,21,Scott SpeedSPE,STR Cosworth,69,1:13.862,210.018
14,17,Robert KubicaKUB,Sauber BMW,25,1:14.117,209.296
15,16,Nick HeidfeldHEI,Sauber BMW,18,1:14.163,209.166
16,18,Tiago MonteiroMON,MF1 Toyota,38,1:14.410,208.471
17,19,Christijan AlbersALB,MF1 Toyota,61,1:14.591,207.966
18,8,Jarno TrulliTRU,Toyota,9,1:14.882,207.157
19,14,David CoulthardCOU,RBR Ferrari,12,1:16.045,203.989
20,7,Ralf SchumacherRSC,Toyota,8,1:16.835,201.892
