Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Fernando AlonsoALO,Renault,1:15.350,1:14.726,1:14.942,23
2,2,Giancarlo FisichellaFIS,Renault,1:15.917,1:15.295,1:15.178,22
3,3,Kimi RäikkönenRAI,McLaren Mercedes,1:15.376,1:15.273,1:15.386,30
4,8,Jarno TrulliTRU,Toyota,1:16.455,1:15.506,1:15.968,29
5,5,Michael SchumacherMSC,Ferrari,1:15.716,1:15.139,1:15.986,24
6,10,Nico RosbergROS,Williams Cosworth,1:16.404,1:15.269,1:16.012,28
7,4,Juan Pablo MontoyaMOY,McLaren Mercedes,1:16.251,1:15.253,1:16.228,26
8,12,Jenson ButtonBUT,Honda,1:16.594,1:15.814,1:16.608,30
9,11,Rubens BarrichelloBAR,Honda,1:16.735,1:15.601,1:16.912,31
10,6,Felipe MassaMAS,Ferrari,1:16.259,1:15.555,1:17.209,24
11,17,Jacques VilleneuveVIL,Sauber BMW,1:16.493,1:15.832,,10
12,15,Christian KlienKLI,RBR Ferrari,1:16.585,1:15.833,,12
13,16,Nick HeidfeldHEI,Sauber BMW,1:15.906,1:15.885,,11
14,7,Ralf SchumacherRSC,Toyota,1:16.702,1:15.888,,12
15,20,Vitantonio LiuzziLIU,STR Cosworth,1:16.581,1:16.116,,16
16,14,David CoulthardCOU,RBR Ferrari,1:16.514,1:16.301,,11
17,9,Mark WebberWEB,Williams Cosworth,1:16.985,,,7
18,21,Scott SpeedSPE,STR Cosworth,1:17.016,,,7
19,18,Tiago MonteiroMON,MF1 Toyota,1:17.121,,,8
20,19,Christijan AlbersALB,MF1 Toyota,1:17.140,,,7
21,22,Takuma SatoSAT,Super Aguri Honda,1:19.088,,,6
22,23,Franck MontagnyMON,Super Aguri Honda,1:19.152,,,7
