Pos,No,Driver,Car,Time,Gap,Laps
1,2,Lewis HamiltonHAM,McLaren Mercedes,1:32.515,,26
2,6,Kimi RäikkönenRAI,Ferrari,1:32.751,+0.236s,24
3,1,Fernando AlonsoALO,McLaren Mercedes,1:32.932,+0.417s,27
4,9,Nick HeidfeldHEI,Sauber BMW,1:32.975,+0.460s,35
5,10,Robert KubicaKUB,Sauber BMW,1:33.205,+0.690s,34
6,5,Felipe MassaMAS,Ferrari,1:33.605,+1.090s,24
7,11,Ralf SchumacherRSC,Toyota,1:33.825,+1.310s,32
8,7,Jenson ButtonBUT,Honda,1:33.936,+1.421s,28
9,14,David CoulthardCOU,Red Bull Renault,1:34.062,+1.547s,25
10,8,Rubens BarrichelloBAR,Honda,1:34.142,+1.627s,25
11,12,Jarno TrulliTRU,Toyota,1:34.152,+1.637s,34
12,17,Alexander WurzWUR,Williams Toyota,1:34.345,+1.830s,32
13,16,Nico RosbergROS,Williams Toyota,1:34.563,+2.048s,32
14,23,Anthony DavidsonDAV,Super Aguri Honda,1:34.567,+2.052s,30
15,15,Mark WebberWEB,Red Bull Renault,1:34.683,+2.168s,22
16,22,Takuma SatoSAT,Super Aguri Honda,1:34.708,+2.193s,36
17,18,Vitantonio LiuzziLIU,STR Ferrari,1:34.907,+2.392s,31
18,4,Heikki KovalainenKOV,Renault,1:34.921,+2.406s,21
19,3,Giancarlo FisichellaFIS,Renault,1:35.077,+2.562s,22
20,19,Scott SpeedSPE,STR Ferrari,1:35.643,+3.128s,15
21,20,Adrian SutilSUT,Spyker Ferrari,1:36.340,+3.825s,22
22,21,Markus WinkelhockWIN,Spyker Ferrari,1:37.116,+4.601s,30
