Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,2,Lewis HamiltonHAM,McLaren Mercedes,1:12.563,1:12.065,1:12.331,19
2,1,Fernando AlonsoALO,McLaren Mercedes,1:12.416,1:11.926,1:12.500,18
3,5,Felipe MassaMAS,Ferrari,1:12.731,1:12.180,1:12.703,20
4,6,Kimi RäikkönenRAI,Ferrari,1:12.732,1:12.111,1:12.839,22
5,9,Nick HeidfeldHEI,Sauber BMW,1:12.543,1:12.188,1:12.847,20
6,4,Heikki KovalainenKOV,Renault,1:12.998,1:12.599,1:13.308,24
7,10,Sebastian VettelVET,Sauber BMW,1:12.711,1:12.644,1:13.513,24
8,12,Jarno TrulliTRU,Toyota,1:13.186,1:12.828,1:13.789,26
9,15,Mark WebberWEB,Red Bull Renault,1:13.425,1:12.788,1:13.871,25
10,3,Giancarlo FisichellaFIS,Renault,1:13.168,1:12.603,1:13.953,24
11,14,David CoulthardCOU,Red Bull Renault,1:13.424,1:12.873,,15
12,11,Ralf SchumacherRSC,Toyota,1:12.851,1:12.920,,13
13,7,Jenson ButtonBUT,Honda,1:13.306,1:12.998,,12
14,16,Nico RosbergROS,Williams Toyota,1:13.128,1:13.060,,12
15,8,Rubens BarrichelloBAR,Honda,1:13.203,1:13.201,,12
16,23,Anthony DavidsonDAV,Super Aguri Honda,1:13.164,1:13.259,,13
17,17,Alexander WurzWUR,Williams Toyota,1:13.441,,,6
18,22,Takuma SatoSAT,Super Aguri Honda,1:13.477,,,7
19,18,Vitantonio LiuzziLIU,STR Ferrari,1:13.484,,,7
20,19,Scott SpeedSPE,STR Ferrari,1:13.712,,,7
21,20,Adrian SutilSUT,Spyker Ferrari,1:14.122,,,6
22,21,Christijan AlbersALB,Spyker Ferrari,1:14.597,,,7
