Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Kimi RäikkönenRAI,Ferrari,1:15.133,1:15.161,1:16.449,16
2,2,Felipe MassaMAS,Ferrari,1:15.024,1:15.041,1:16.490,17
3,22,Lewis HamiltonHAM,McLaren Mercedes,1:15.634,1:15.293,1:16.693,15
4,5,Fernando AlonsoALO,Renault,1:15.754,1:15.483,1:16.840,18
5,11,Jarno TrulliTRU,Toyota,1:15.521,1:15.362,1:16.920,19
6,23,Heikki KovalainenKOV,McLaren Mercedes,1:15.965,1:15.639,1:16.944,18
7,4,Robert KubicaKUB,Sauber BMW,1:15.687,1:15.723,1:17.037,19
8,10,Mark WebberWEB,Red Bull Renault,1:16.020,1:15.488,1:17.233,18
9,9,David CoulthardCOU,Red Bull Renault,1:15.802,1:15.654,1:17.426,19
10,12,Timo GlockGLO,Toyota,1:15.727,1:15.558,1:17.596,24
11,6,Nelson PiquetPIQ,Renault,1:15.848,1:15.770,,12
12,3,Nick HeidfeldHEI,Sauber BMW,1:16.006,1:15.786,,14
13,15,Sebastian VettelVET,STR Ferrari,1:15.918,1:15.816,,17
14,14,Sebastien BourdaisBOU,STR Ferrari,1:16.072,1:16.045,,17
15,7,Nico RosbergROS,Williams Toyota,1:16.085,1:16.235,,12
16,8,Kazuki NakajimaNAK,Williams Toyota,1:16.243,,,9
17,16,Jenson ButtonBUT,Honda,1:16.306,,,9
18,17,Rubens BarrichelloBAR,Honda,1:16.330,,,6
19,21,Giancarlo FisichellaFIS,Force India Ferrari,1:16.971,,,10
20,20,Adrian SutilSUT,Force India Ferrari,1:17.053,,,9
