Pos,No,Driver,Car,Laps,Time/retired,Pts
1,15,Sebastian VettelVET,STR Ferrari,53,1:26:47.494,10
2,23,Heikki KovalainenKOV,McLaren Mercedes,53,+12.512s,8
3,4,Robert KubicaKUB,Sauber BMW,53,+20.471s,6
4,5,Fernando AlonsoALO,Renault,53,+23.903s,5
5,3,Nick HeidfeldHEI,Sauber BMW,53,+27.748s,4
6,2,Felipe MassaMAS,Ferrari,53,+28.816s,3
7,22,Lewis HamiltonHAM,McLaren Mercedes,53,+29.912s,2
8,10,Mark WebberWEB,Red Bull Renault,53,+32.048s,1
9,1,Kimi RäikkönenRAI,Ferrari,53,+39.468s,0
10,6,Nelson PiquetPIQ,Renault,53,+54.445s,0
11,12,Timo GlockGLO,Toyota,53,+58.888s,0
12,8,Kazuki NakajimaNAK,Williams Toyota,53,+62.015s,0
13,11,Jarno TrulliTRU,Toyota,53,+65.954s,0
14,7,Nico RosbergROS,Williams Toyota,53,+68.635s,0
15,16,Jenson ButtonBUT,Honda,53,+73.370s,0
16,9,David CoulthardCOU,Red Bull Renault,52,+1 lap,0
17,17,Rubens BarrichelloBAR,Honda,52,+1 lap,0
18,14,Sebastien BourdaisBOU,STR Ferrari,52,+1 lap,0
19,20,Adrian SutilSUT,Force India Ferrari,51,+2 laps,0
NC,21,Giancarlo FisichellaFIS,Force India Ferrari,11,DNF,0
