Pos,No,Driver,Car,Laps,Time/retired,Pts
1,2,Felipe MassaMAS,Ferrari,70,1:31:50.245,10
2,1,Kimi RäikkönenRAI,Ferrari,70,+17.984s,8
3,11,Jarno TrulliTRU,Toyota,70,+28.250s,6
4,23,Heikki KovalainenKOV,McLaren Mercedes,70,+28.929s,5
5,4,Robert KubicaKUB,Sauber BMW,70,+30.512s,4
6,10,Mark WebberWEB,Red Bull Renault,70,+40.304s,3
7,6,Nelson PiquetPIQ,Renault,70,+41.033s,2
8,5,Fernando AlonsoALO,Renault,70,+43.372s,1
9,9,David CoulthardCOU,Red Bull Renault,70,+51.072s,0
10,22,Lewis HamiltonHAM,McLaren Mercedes,70,+54.521s,0
11,12,Timo GlockGLO,Toyota,70,+57.738s,0
12,15,Sebastian VettelVET,STR Ferrari,70,+58.065s,0
13,3,Nick HeidfeldHEI,Sauber BMW,70,+62.079s,0
14,17,Rubens BarrichelloBAR,Honda,69,+1 lap,0
15,8,Kazuki NakajimaNAK,Williams Toyota,69,+1 lap,0
16,7,Nico RosbergROS,Williams Toyota,69,+1 lap,0
17,14,Sebastien BourdaisBOU,STR Ferrari,69,+1 lap,0
18,21,Giancarlo FisichellaFIS,Force India Ferrari,69,+1 lap,0
19,20,Adrian SutilSUT,Force India Ferrari,69,+1 lap,0
NC,16,Jenson ButtonBUT,Honda,16,DNF,0
